timeframe,session,orb_minutes,risk_reward,trades_include,net_profit_include,profit_factor_include,win_rate_include,max_dd_pct_include,max_consec_losses_include,avg_r_include,trades_skip,net_profit_skip,profit_factor_skip,win_rate_skip,max_dd_pct_skip,max_consec_losses_skip,avg_r_skip,delta_trades,delta_net_profit,delta_profit_factor,delta_win_rate,delta_max_dd_pct,delta_max_consec_losses,delta_avg_r
M1,ASIA,15,1.0,966,34049.99999999782,1.1255137585933526,51.345755693581786,13.821580456928015,8,0.026927870825552664,660,36754.999999998574,1.2050087848955497,52.87878787878788,8.54683666492372,6,0.058271128598491255,-306,2705.0000000007567,0.07949502630219718,1.5330321852060962,-5.274743792004294,-2,0.03134325777293859
M1,ASIA,15,1.5,895,63958.99999999782,1.2178588459704263,42.56983240223464,15.480812456578008,12,0.0602060509130474,612,56678.99999999831,1.2860553144241373,43.790849673202615,12.61333870642774,16,0.09342349181513644,-283,-7279.999999999505,0.06819646845371108,1.2210172709679767,-2.8674737501502676,4,0.03321744090208904
M1,ASIA,15,2.0,857,88054.99999999793,1.284383225410557,36.63943990665111,14.15609079673261,16,0.08259434863143919,584,73429.99999999854,1.3488858269587038,37.32876712328767,12.361612515042196,18,0.10860611100739455,-273,-14624.999999999389,0.06450260154814691,0.6893272166365563,-1.794478281690413,2,0.026011762375955358
M1,ASIA,15,2.5,826,48559.99999999776,1.1494337764647882,30.871670702179177,23.08267487256228,23,0.04578658513642008,559,48870.99999999767,1.2225303371809646,31.48479427549195,17.123378080492486,21,0.07859276353732067,-267,310.9999999999127,0.07309656071617643,0.6131235733127731,-5.959296792069793,-2,0.03280617840090059
M1,ASIA,15,3.0,809,47744.999999997875,1.1443559237478953,27.935723114956733,21.05581835383203,23,0.056168573391118935,550,44524.99999999828,1.1977570508549784,28.18181818181818,15.89694924785615,22,0.0846791589745373,-259,-3219.9999999995925,0.05340112710708311,0.24609506686144655,-5.1588691059758816,-1,0.028510585583418367
M1,ASIA,15,3.5,799,51658.999999998225,1.1526701539734558,24.6558197747184,18.87599140779935,23,0.02266391389195105,543,49095.99999999901,1.212707146415956,24.49355432780847,14.368035171984456,22,0.039878374469871844,-256,-2562.999999999214,0.06003699244250016,-0.1622654469099274,-4.507956235814895,-1,0.017214460577920795
M1,ASIA,15,4.0,795,65789.99999999776,1.1926895703365195,23.270440251572328,17.588110141531565,30,0.04474806707278954,540,59164.99999999895,1.253367021390484,22.77777777777778,13.372161778618812,22,0.04547789278671779,-255,-6624.999999998807,0.06067745105396449,-0.4926624737945495,-4.215948362912753,-8,0.0007298257139282463
M1,ASIA,15,4.5,789,69407.99999999825,1.2030007896814896,22.306717363751584,17.365823565700524,30,0.05835853730764328,536,58890.99999999904,1.251456020495299,21.641791044776117,13.821237585943525,22,0.05248464082904896,-253,-10516.999999999214,0.048455230813809314,-0.6649263189754677,-3.5445859797569987,-8,-0.00587389647859432
M1,ASIA,15,5.0,787,92619.99999999788,1.2705655526992228,21.855146124523507,16.082903954148396,30,0.0975434555260185,536,79394.9999999989,1.338297328390638,21.26865671641791,12.976245122790978,22,0.1058504167704204,-251,-13224.999999998981,0.06773177569141531,-0.5864894081055958,-3.106658831357418,-8,0.008306961244401903
M1,ASIA,30,1.0,776,56289.99999999881,1.2252005360964928,53.350515463917525,12.505347212319947,8,0.07011128052551222,525,63564.9999999984,1.405686568593027,56.00000000000001,8.809467295107204,6,0.12445408985877854,-251,7274.999999999593,0.18048603249653428,2.6494845360824826,-3.695879917212743,-2,0.05434280933326632
M1,ASIA,30,1.5,712,96955.99999999898,1.3647087588632432,44.38202247191011,13.619369233552591,10,0.10893495312797134,484,97664.99999999872,1.5756513026052026,46.69421487603306,9.454606197277416,14,0.1723813442909087,-228,708.9999999997381,0.21094254374195942,2.3121924041229462,-4.1647630362751755,4,0.06344639116293736
M1,ASIA,30,2.0,677,114934.99999999939,1.4091014255459218,38.10930576070901,11.604207758053994,11,0.12595754635471634,458,115084.99999999904,1.6345491136658044,39.737991266375545,8.632982021078867,14,0.18905549390899454,-219,149.99999999965075,0.22544768811988258,1.6286855056665317,-2.9712257369751267,3,0.0630979475542782
M1,ASIA,30,2.5,650,72647.9999999993,1.250079173838207,32.61538461538461,16.25248046077474,20,0.09921343915105209,434,70486.99999999854,1.3733223875853948,33.17972350230415,11.812319031324257,16,0.13936742612207276,-216,-2161.0000000007567,0.12324321374718772,0.5643388869195363,-4.440161429450484,-4,0.04015398697102067
M1,ASIA,30,3.0,641,101619.99999999985,1.345423025935619,30.733229329173167,14.867934324096435,20,0.14963466285468638,428,95079.99999999939,1.4990159288319693,31.542056074766357,10.962501526810959,16,0.20921386871549855,-213,-6540.000000000466,0.1535929028963503,0.8088267455931906,-3.905432797285476,-4,0.05957920586081217
