config,variant,trades,win_rate,net_profit,profit_factor,max_dd_money,max_dd_pct,expectancy,avg_r
M15_LONDON_ORB15_INCLUDE_NEWS_RR1,ORIGINAL,400,42.75,-33695.0,0.838,44560.0,43.84,-84.24,-0.139
M15_LONDON_ORB15_INCLUDE_NEWS_RR1,R,159,55.35,-3500.0,0.96,31510.0,26.77,-22.01,0.104
M15_LONDON_ORB15_INCLUDE_NEWS_RR1,RR,278,56.47,16740.0,1.126,24710.0,20.3,60.22,0.125
M15_LONDON_ORB15_INCLUDE_NEWS_RR1,RRR,349,57.02,26495.0,1.167,22565.0,17.92,75.92,0.137
M15_LONDON_ORB15_INCLUDE_NEWS_RR1p5,ORIGINAL,392,33.67,-45291.0,0.807,61644.0,60.16,-115.54,-0.179
M15_LONDON_ORB15_INCLUDE_NEWS_RR1p5,R,159,48.43,5768.0,1.059,36020.0,30.18,36.28,0.198
M15_LONDON_ORB15_INCLUDE_NEWS_RR1p5,RR,267,47.94,25325.0,1.172,28178.0,22.38,94.85,0.169
M15_LONDON_ORB15_INCLUDE_NEWS_RR1p5,RRR,313,49.2,36216.0,1.218,22625.0,17.5,115.71,0.186
M15_LONDON_ORB15_INCLUDE_NEWS_RR2,ORIGINAL,388,27.32,-53100.0,0.789,63600.0,62.88,-136.86,-0.232
M15_LONDON_ORB15_INCLUDE_NEWS_RR2,R,159,40.88,2475.0,1.023,34060.0,31.35,15.57,0.184
M15_LONDON_ORB15_INCLUDE_NEWS_RR2,RR,250,42.0,21315.0,1.144,24170.0,22.03,85.26,0.171
M15_LONDON_ORB15_INCLUDE_NEWS_RR2,RRR,283,43.11,29850.0,1.183,18405.0,16.83,105.48,0.19
M15_LONDON_ORB15_INCLUDE_NEWS_RR2p5,ORIGINAL,388,26.03,-40878.0,0.841,64824.0,58.32,-105.36,-0.193
M15_LONDON_ORB15_INCLUDE_NEWS_RR2p5,R,159,37.11,9309.0,1.082,34190.0,31.02,58.55,0.228
M15_LONDON_ORB15_INCLUDE_NEWS_RR2p5,RR,241,40.25,33349.0,1.225,22789.0,20.29,138.38,0.257
M15_LONDON_ORB15_INCLUDE_NEWS_RR2p5,RRR,260,40.38,33592.0,1.212,21361.0,19.03,129.2,0.249
M15_LONDON_ORB15_INCLUDE_NEWS_RR3,ORIGINAL,387,24.55,-44700.0,0.828,67125.0,60.37,-115.5,-0.183
M15_LONDON_ORB15_INCLUDE_NEWS_RR3,R,159,35.22,7305.0,1.063,37615.0,35.28,45.94,0.255
M15_LONDON_ORB15_INCLUDE_NEWS_RR3,RR,230,38.7,32110.0,1.217,26900.0,24.42,139.61,0.303
M15_LONDON_ORB15_INCLUDE_NEWS_RR3,RRR,245,38.78,37135.0,1.241,24980.0,22.66,151.57,0.306
M15_LONDON_ORB15_INCLUDE_NEWS_RR3p5,ORIGINAL,383,22.19,-68867.0,0.739,85002.0,82.9,-179.81,-0.223
M15_LONDON_ORB15_INCLUDE_NEWS_RR3p5,R,159,34.59,18165.0,1.156,37472.0,34.9,114.25,0.346
M15_LONDON_ORB15_INCLUDE_NEWS_RR3p5,RR,225,36.44,37972.0,1.255,26267.0,24.13,168.76,0.331
M15_LONDON_ORB15_INCLUDE_NEWS_RR3p5,RRR,238,36.55,42395.0,1.274,24712.0,22.88,178.13,0.324
M15_LONDON_ORB15_INCLUDE_NEWS_RR4,ORIGINAL,383,21.41,-69315.0,0.74,84895.0,84.18,-180.98,-0.216
M15_LONDON_ORB15_INCLUDE_NEWS_RR4,R,159,32.08,18745.0,1.158,36475.0,34.66,117.89,0.334
M15_LONDON_ORB15_INCLUDE_NEWS_RR4,RR,221,35.29,42805.0,1.289,23730.0,22.28,193.69,0.361
M15_LONDON_ORB15_INCLUDE_NEWS_RR4,RRR,233,35.19,44515.0,1.29,22175.0,20.98,191.05,0.339
M15_LONDON_ORB15_INCLUDE_NEWS_RR4p5,ORIGINAL,383,21.15,-63935.0,0.761,78093.0,78.09,-166.93,-0.194
