,net_profit,net_profit,net_profit,net_profit,trades,trades,trades,trades,win_rate,win_rate,win_rate,win_rate,profit_factor,profit_factor,profit_factor,profit_factor,max_dd_pct,max_dd_pct,max_dd_pct,max_dd_pct
variant,ORIGINAL,R,RR,RRR,ORIGINAL,R,RR,RRR,ORIGINAL,R,RR,RRR,ORIGINAL,R,RR,RRR,ORIGINAL,R,RR,RRR
config,,,,,,,,,,,,,,,,,,,,
M15_LONDON_ORB15_INCLUDE_NEWS_RR1,-33695.0,-3500.0,16740.0,26495.0,400.0,159.0,278.0,349.0,42.75,55.35,56.47,57.02,0.838,0.96,1.126,1.167,43.84,26.77,20.3,17.92
M15_LONDON_ORB15_INCLUDE_NEWS_RR1p5,-45291.0,5768.0,25325.0,36216.0,392.0,159.0,267.0,313.0,33.67,48.43,47.94,49.2,0.807,1.059,1.172,1.218,60.16,30.18,22.38,17.5
M15_LONDON_ORB15_INCLUDE_NEWS_RR2,-53100.0,2475.0,21315.0,29850.0,388.0,159.0,250.0,283.0,27.32,40.88,42.0,43.11,0.789,1.023,1.144,1.183,62.88,31.35,22.03,16.83
M15_LONDON_ORB15_INCLUDE_NEWS_RR2p5,-40878.0,9309.0,33349.0,33592.0,388.0,159.0,241.0,260.0,26.03,37.11,40.25,40.38,0.841,1.082,1.225,1.212,58.32,31.02,20.29,19.03
M15_LONDON_ORB15_INCLUDE_NEWS_RR3,-44700.0,7305.0,32110.0,37135.0,387.0,159.0,230.0,245.0,24.55,35.22,38.7,38.78,0.828,1.063,1.217,1.241,60.37,35.28,24.42,22.66
M15_LONDON_ORB15_INCLUDE_NEWS_RR3p5,-68867.0,18165.0,37972.0,42395.0,383.0,159.0,225.0,238.0,22.19,34.59,36.44,36.55,0.739,1.156,1.255,1.274,82.9,34.9,24.13,22.88
M15_LONDON_ORB15_INCLUDE_NEWS_RR4,-69315.0,18745.0,42805.0,44515.0,383.0,159.0,221.0,233.0,21.41,32.08,35.29,35.19,0.74,1.158,1.289,1.29,84.18,34.66,22.28,20.98
M15_LONDON_ORB15_INCLUDE_NEWS_RR4p5,-63935.0,14134.0,33614.0,36494.0,383.0,159.0,219.0,229.0,21.15,30.82,33.79,34.06,0.761,1.118,1.226,1.239,78.09,32.94,21.92,20.64
