config,variant,trades,win_rate,net_profit,profit_factor,max_dd_money,max_dd_pct,expectancy,avg_r
M15_LONDON_ORB15_SKIP_NEWS_RR1,ORIGINAL,1806,50.0,-4265.0,0.987,16825.0,16.54,-2.36,-0.001
M15_LONDON_ORB15_SKIP_NEWS_RR1,R,773,49.94,-2815.0,0.981,18895.0,17.44,-3.64,-0.003
M15_LONDON_ORB15_SKIP_NEWS_RR1,RR,1324,50.6,13730.0,1.059,16455.0,13.98,10.37,0.015
M15_LONDON_ORB15_SKIP_NEWS_RR1,RRR,1630,49.82,6955.0,1.024,18870.0,16.64,4.27,-0.002
M15_LONDON_ORB15_SKIP_NEWS_RR1p5,ORIGINAL,1766,40.83,-5498.0,0.985,17682.0,16.86,-3.11,-0.006
M15_LONDON_ORB15_SKIP_NEWS_RR1p5,R,773,39.84,-8019.0,0.954,23242.0,21.67,-10.37,-0.01
M15_LONDON_ORB15_SKIP_NEWS_RR1p5,RR,1255,40.96,13427.0,1.052,20966.0,17.49,10.7,0.01
M15_LONDON_ORB15_SKIP_NEWS_RR1p5,RRR,1459,40.85,6931.0,1.023,21209.0,18.65,4.75,-0.001
M15_LONDON_ORB15_SKIP_NEWS_RR2,ORIGINAL,1745,35.82,5435.0,1.014,17115.0,14.81,3.11,0.009
M15_LONDON_ORB15_SKIP_NEWS_RR2,R,773,35.45,13185.0,1.072,23005.0,18.98,17.06,0.038
M15_LONDON_ORB15_SKIP_NEWS_RR2,RR,1187,35.3,20485.0,1.078,22155.0,18.16,17.26,0.018
M15_LONDON_ORB15_SKIP_NEWS_RR2,RRR,1323,35.45,14370.0,1.05,21325.0,18.39,10.86,0.003
M15_LONDON_ORB15_SKIP_NEWS_RR2p5,ORIGINAL,1735,32.05,8828.0,1.022,17005.0,14.46,5.09,0.001
M15_LONDON_ORB15_SKIP_NEWS_RR2p5,R,773,31.82,12796.0,1.067,25720.0,21.13,16.55,0.044
M15_LONDON_ORB15_SKIP_NEWS_RR2p5,RR,1134,32.01,19846.0,1.076,22495.0,18.8,17.5,0.015
M15_LONDON_ORB15_SKIP_NEWS_RR2p5,RRR,1229,32.06,11552.0,1.041,23633.0,20.6,9.4,0.0
M15_LONDON_ORB15_SKIP_NEWS_RR3,ORIGINAL,1725,28.99,6905.0,1.017,21355.0,20.94,4.0,-0.018
M15_LONDON_ORB15_SKIP_NEWS_RR3,R,773,30.01,18480.0,1.095,26240.0,21.08,23.91,0.072
M15_LONDON_ORB15_SKIP_NEWS_RR3,RR,1094,30.07,20260.0,1.078,23335.0,19.4,18.52,0.029
M15_LONDON_ORB15_SKIP_NEWS_RR3,RRR,1172,30.29,14415.0,1.052,24390.0,20.86,12.3,0.019
M15_LONDON_ORB15_SKIP_NEWS_RR3p5,ORIGINAL,1721,27.43,2780.0,1.007,21483.0,21.47,1.62,-0.019
M15_LONDON_ORB15_SKIP_NEWS_RR3p5,R,773,27.81,16366.0,1.083,25631.0,21.29,21.17,0.064
M15_LONDON_ORB15_SKIP_NEWS_RR3p5,RR,1076,28.35,11982.0,1.046,25826.0,21.56,11.14,0.023
M15_LONDON_ORB15_SKIP_NEWS_RR3p5,RRR,1142,28.46,8778.0,1.032,26404.0,22.8,7.69,0.017
M15_LONDON_ORB15_SKIP_NEWS_RR4,ORIGINAL,1720,26.4,-8340.0,0.98,25880.0,25.88,-4.85,-0.025
M15_LONDON_ORB15_SKIP_NEWS_RR4,R,773,26.91,22110.0,1.111,25285.0,19.96,28.6,0.09
M15_LONDON_ORB15_SKIP_NEWS_RR4,RR,1062,27.97,23035.0,1.089,24870.0,19.29,21.69,0.062
M15_LONDON_ORB15_SKIP_NEWS_RR4,RRR,1124,28.2,20695.0,1.076,25350.0,20.16,18.41,0.056
M15_LONDON_ORB15_SKIP_NEWS_RR4p5,ORIGINAL,1718,25.61,-10191.0,0.976,29531.0,29.53,-5.93,-0.033
M15_LONDON_ORB15_SKIP_NEWS_RR4p5,R,773,26.26,28303.0,1.141,25197.0,19.0,36.61,0.115
M15_LONDON_ORB15_SKIP_NEWS_RR4p5,RR,1058,27.13,24583.0,1.094,26032.0,19.84,23.24,0.065
M15_LONDON_ORB15_SKIP_NEWS_RR4p5,RRR,1116,27.33,22122.0,1.081,26415.0,20.74,19.82,0.058
M15_LONDON_ORB15_SKIP_NEWS_RR5,ORIGINAL,1718,25.09,-13665.0,0.968,30065.0,30.07,-7.95,-0.034
M15_LONDON_ORB15_SKIP_NEWS_RR5,R,773,25.61,31315.0,1.155,26170.0,19.41,40.51,0.119
M15_LONDON_ORB15_SKIP_NEWS_RR5,RR,1055,26.35,26615.0,1.102,27005.0,20.41,25.23,0.061
M15_LONDON_ORB15_SKIP_NEWS_RR5,RRR,1111,26.55,23585.0,1.086,28460.0,22.06,21.23,0.052
M1_LONDON_ORB15_SKIP_NEWS_RR1,ORIGINAL,4117,50.62,9645.0,1.02,16600.0,15.34,2.34,0.011
M1_LONDON_ORB15_SKIP_NEWS_RR1,R,773,49.03,-10160.0,0.902,14080.0,13.97,-13.14,-0.019
M1_LONDON_ORB15_SKIP_NEWS_RR1,RR,1473,49.97,-4620.0,0.975,12850.0,12.72,-3.14,-0.001
M1_LONDON_ORB15_SKIP_NEWS_RR1,RRR,2080,49.66,-7570.0,0.971,15485.0,14.7,-3.64,-0.005
M1_LONDON_ORB15_SKIP_NEWS_RR1p5,ORIGINAL,3780,41.24,16020.0,1.031,13856.0,13.18,4.24,0.016
M1_LONDON_ORB15_SKIP_NEWS_RR1p5,R,773,39.2,-14773.0,0.881,20934.0,20.62,-19.11,-0.021
M1_LONDON_ORB15_SKIP_NEWS_RR1p5,RR,1455,39.66,-11873.0,0.946,22452.0,21.37,-8.16,-0.012
M1_LONDON_ORB15_SKIP_NEWS_RR1p5,RRR,2011,40.13,-2195.0,0.993,20249.0,18.0,-1.09,0.002
M1_LONDON_ORB15_SKIP_NEWS_RR2,ORIGINAL,3609,34.91,7630.0,1.014,16030.0,13.88,2.11,0.012
M1_LONDON_ORB15_SKIP_NEWS_RR2,R,773,32.86,-16555.0,0.878,24960.0,24.49,-21.42,-0.02
M1_LONDON_ORB15_SKIP_NEWS_RR2,RR,1431,33.61,-10270.0,0.957,34850.0,30.36,-7.18,0.001
M1_LONDON_ORB15_SKIP_NEWS_RR2,RRR,1941,34.26,-2165.0,0.993,35780.0,29.76,-1.12,0.013
M1_LONDON_ORB15_SKIP_NEWS_RR2p5,ORIGINAL,3499,30.64,15080.0,1.027,15717.0,13.87,4.31,0.01
M1_LONDON_ORB15_SKIP_NEWS_RR2p5,R,773,28.2,-18829.0,0.87,25489.0,25.26,-24.36,-0.025
M1_LONDON_ORB15_SKIP_NEWS_RR2p5,RR,1404,29.34,-15970.0,0.936,39057.0,33.93,-11.37,0.007
M1_LONDON_ORB15_SKIP_NEWS_RR2p5,RRR,1845,30.03,-17939.0,0.943,43197.0,35.34,-9.72,0.014
M1_LONDON_ORB15_SKIP_NEWS_RR3,ORIGINAL,3442,28.07,30605.0,1.054,18405.0,15.88,8.89,0.026
M1_LONDON_ORB15_SKIP_NEWS_RR3,R,773,23.8,-34305.0,0.775,38665.0,38.58,-44.38,-0.082
M1_LONDON_ORB15_SKIP_NEWS_RR3,RR,1378,25.33,-34785.0,0.864,54960.0,48.88,-25.24,-0.032
M1_LONDON_ORB15_SKIP_NEWS_RR3,RRR,1773,25.55,-42810.0,0.867,57310.0,51.13,-24.15,-0.033
M1_LONDON_ORB15_SKIP_NEWS_RR3p5,ORIGINAL,3390,25.93,30560.0,1.054,18336.0,14.81,9.01,0.027
M1_LONDON_ORB15_SKIP_NEWS_RR3p5,R,773,21.47,-36500.0,0.767,41285.0,41.03,-47.22,-0.091
M1_LONDON_ORB15_SKIP_NEWS_RR3p5,RR,1359,22.88,-31790.0,0.876,51996.0,46.92,-23.39,-0.038
M1_LONDON_ORB15_SKIP_NEWS_RR3p5,RRR,1727,23.28,-36999.0,0.884,55345.0,49.37,-21.42,-0.037
M1_LONDON_ORB15_SKIP_NEWS_RR4,ORIGINAL,3355,23.9,13635.0,1.024,20525.0,16.15,4.06,0.004
