name,timeframe,session,orb_minutes,news_mode,risk_reward,sl_range_mult,max_trades,reverse,range_start,range_end,stop_time,trades,wins,losses,win_rate,net_profit,profit_factor,expectancy,max_dd_money,max_dd_pct,avg_r,total_r,recovery_factor,max_consec_losses,long_net,short_net,avg_duration_min
M5_LONDON_ORB15_SKIP_NEWS_RR1_SL2_RR_REV,M5,LONDON,15,SKIP_NEWS,1.0,2.0,2,True,03:00,03:15,09:30,156,96,60,61.53846153846154,76650.00000000017,1.7176294354461212,491.3461538461544,11929.999999999825,10.277647058823504,0.20070065678610527,31.309302458632423,6.424979044425926,7,24379.999999999967,52270.00000000012,134.3397435897436
M5_LONDON_ORB15_SKIP_NEWS_RR1_SL2_RRR_REV,M5,LONDON,15,SKIP_NEWS,1.0,2.0,3,True,03:00,03:15,09:30,180,108,72,60.0,76470.00000000003,1.6310968061401343,424.8333333333329,13789.999999999738,10.515166104959048,0.170599135336271,30.707844360528778,5.545322697607069,8,23659.999999999858,52810.00000000009,122.1
M5_LONDON_ORB15_SKIP_NEWS_RR1_SL1p5_RRR_REV,M5,LONDON,15,SKIP_NEWS,1.0,1.5,3,True,03:00,03:15,09:30,219,133,86,60.73059360730594,71714.99999999988,1.523600919943049,327.46575342465695,14969.999999999985,10.474757723122138,0.19437307783645086,42.56770404618274,4.790581162324647,8,32499.999999999683,39215.0000000002,78.79908675799086
M5_LONDON_ORB15_SKIP_NEWS_RR1p5_SL1_RRR_REV,M5,LONDON,15,SKIP_NEWS,1.5,1.0,3,True,03:00,03:15,09:30,233,120,113,51.50214592274678,66744.99999999988,1.5330644517211085,286.4592274678113,9979.999999999927,7.453880050787907,0.23992728195606752,55.90305669576373,6.687875751503043,10,32894.99999999984,33850.00000000019,58.84978540772532
M5_LONDON_ORB15_INCLUDE_NEWS_RR1_SL2_RR_REV,M5,LONDON,15,INCLUDE_NEWS,1.0,2.0,2,True,03:00,03:15,09:30,227,134,93,59.03083700440529,63349.99999999962,1.3410314384151585,279.07488986784,36050.000000000015,34.92201879298649,0.1563137943667512,35.48323132125252,1.757281553398047,7,23689.999999999647,39660.00000000005,140.24669603524228
M1_LONDON_ORB60_INCLUDE_NEWS_RR1_SL0p75_RRR_REV,M1,LONDON,60,INCLUDE_NEWS,1.0,0.75,3,True,03:00,04:00,09:30,348,191,157,54.88505747126437,63183.0,1.3036636884879553,181.56034482758696,13984.000000000087,8.589627827838934,0.10843599405337975,37.73572593057615,4.518235125858095,6,27767.000000000597,35415.999999999665,64.5316091954023
M15_LONDON_ORB60_INCLUDE_NEWS_RR1_SL0p75_RRR_REV,M15,LONDON,60,INCLUDE_NEWS,1.0,0.75,3,True,03:00,04:00,09:30,277,157,120,56.678700361010826,62571.99999999988,1.3938789256016255,225.8916967509018,15381.000000000116,9.13220049161062,0.14405491951811594,39.90321270651812,4.068136011962773,10,48642.99999999925,13929.000000000542,63.36101083032491
M5_LONDON_ORB15_INCLUDE_NEWS_RR1_SL2_RRR_REV,M5,LONDON,15,INCLUDE_NEWS,1.0,2.0,3,True,03:00,03:15,09:30,254,148,106,58.26771653543307,62399.99999999942,1.3091251362330305,245.66929133858054,36050.000000000015,35.54525734569115,0.13593394697600233,34.52722253190459,1.7309292649098307,8,21229.999999999472,41169.99999999998,129.61417322834646
M5_LONDON_ORB60_INCLUDE_NEWS_RR1p5_SL2_RR_FWD,M5,LONDON,60,INCLUDE_NEWS,1.5,2.0,2,False,03:00,04:00,09:30,165,84,81,50.90909090909091,61799.999999999214,1.3529411764705834,374.54545454545007,18730.000000000102,16.406078920860296,0.056420980662535564,9.309461809318368,3.2995194874532237,6,7739.999999999278,54059.999999999985,244.86666666666667
M5_LONDON_ORB60_INCLUDE_NEWS_RR1p5_SL2_RRR_FWD,M5,LONDON,60,INCLUDE_NEWS,1.5,2.0,3,False,03:00,04:00,09:30,166,84,82,50.602409638554214,61339.999999999214,1.3493962178172656,369.5180722891522,18730.000000000102,16.406078920860296,0.0550354030340843,9.135876903657994,3.274959957287714,6,7739.999999999278,53600.0,243.42168674698794
