sl_range_mult,max_trades,configs,trades,net_profit,avg_net_per_config,total_r,avg_r,median_profit_factor,avg_win_rate,worst_dd_pct,profitable
0.25,3,180,59302,562880.999999988,3127.1166666666,926.0362115529291,0.01862017010634252,1.0425638965619473,36.468911898278634,53.95804002522024,105
0.25,2,180,43772,491941.00000000617,2733.00555555559,346.6110860610413,0.01019253280921195,1.0612875348464743,36.03831134703916,52.82637636550702,101
2.0,1,180,23760,810260.0000000076,4501.444444444486,314.0559262918945,0.010556861158971956,0.9678251160818333,46.33854704409703,62.313917474272785,88
2.0,2,180,27222,90035.0000000112,500.1944444445067,32.60872651377919,0.0004362328564961507,1.0002524537623851,46.0116595942759,82.65999999999943,90
0.25,1,180,23760,558158.9999999974,3100.883333333319,-53.98152062402964,0.0010528558380601557,1.101915378676776,35.68687562482213,33.90499999999968,132
2.0,3,180,27969,-106164.99999998976,-589.8055555554986,-73.47528414044896,-0.0030725266025519145,0.9790767994811285,45.8821036843469,87.8499999999992,88
1.5,1,180,23760,-1062692.9999999949,-5903.849999999971,-444.6433329774999,-0.021742079053834656,0.89733239048198,42.882942356371785,64.21028253821216,71
1.5,3,180,32417,-1465986.999999995,-8144.372222222195,-615.2158261573434,-0.018651525092372407,0.9343884861843769,43.226948193134774,83.5750000000002,74
0.5,2,180,41731,-542635.9999999898,-3014.6444444443873,-616.1407641818635,-0.014304432410141985,1.0057568919360396,36.29130988587063,75.40499999999956,91
1.5,2,180,30415,-1394949.999999999,-7749.722222222217,-631.9877195310751,-0.02099579693322836,0.9312651087276592,43.03038463022205,68.67260043300476,72
0.75,2,180,38883,-1194047.9999999476,-6633.599999999709,-856.0892633443705,-0.022657517213560414,0.9453825036963369,37.881057531662734,75.16299999999968,71
1.0,1,180,23760,-1474229.9999999995,-8190.166666666664,-974.1412430776343,-0.040615736682764414,0.9266076162879398,38.91982173403973,54.641984589362714,54
0.5,3,180,53579,-998020.9999999775,-5544.5611111109865,-1056.6654267561341,-0.017824202817216164,0.9846715577930145,36.49179976506447,74.37900000000012,84
0.5,1,180,23760,-194589.9999999969,-1081.0555555555381,-1078.8967409074164,-0.04443175312230442,0.993882395610623,34.86112782057797,48.04310011596414,87
0.75,3,180,47011,-1891436.9999999385,-10507.983333332992,-1369.9060373645934,-0.02721225239428426,0.9224488037537983,37.90028748271802,81.14899999999965,71
0.75,1,180,23760,-1464771.999999981,-8137.622222222116,-1420.1982142142547,-0.05955025239081051,0.8966464661999709,35.94552911963206,55.81700000000007,61
1.0,2,180,35785,-2477374.9999999846,-13763.19444444436,-1539.119802099987,-0.044241290648130094,0.9059899200227048,39.223627339646335,68.67999999999971,50
1.0,3,180,41255,-2908574.999999995,-16158.74999999997,-1647.5160583401,-0.0394284364255719,0.9094487126668458,39.515621879943964,92.64000000000034,48
