sl_range_mult,reverse,configs,trades,net_profit,avg_net_per_config,total_r,avg_r,median_profit_factor,avg_win_rate,worst_dd_pct,profitable
0.25,True,270,63547,2977501.9999999404,11027.785185184965,9020.300033769869,0.14955465547395616,1.214085327692998,40.42063663083067,19.49672179014134,243
0.5,True,270,59216,2969827.9999999413,10999.362962962745,6312.245954394053,0.11041189921463777,1.1211716489296486,40.15807966448632,48.04310011596414,215
0.75,True,270,53305,3524200.9999999995,13052.596296296295,5238.492659314221,0.09790578630631978,1.0891120276446398,42.200239543448745,50.990433206033025,193
1.0,True,270,48810,509935.0000000037,1888.648148148162,2628.308533675498,0.05132182645595832,0.9997852840883732,43.519691835111004,54.641984589362714,135
1.5,True,270,42198,-1991306.9999999662,-7375.211111110986,1640.5580524673342,0.03415999559224244,0.8939060744647465,47.12300674794395,68.3250492356746,92
2.0,True,270,38977,-2224039.999999946,-8237.185185184984,1055.3940240830275,0.02256588545944217,0.9004426991955513,48.518066766898215,63.25833095984035,87
2.0,False,270,39974,3018169.999999975,11178.407407407314,-782.2046554178028,-0.017285507184164706,1.1790025336233465,43.63680678158167,87.8499999999992,179
1.5,False,270,44394,-1932323.0000000228,-7156.751851851936,-3332.4049311332524,-0.07508626297853273,0.9630318977551504,38.970510038541796,83.5750000000002,125
1.0,False,270,51990,-7370114.999999983,-27296.72222222216,-6789.08563719322,-0.13417880229360257,0.8669863097362458,34.91968880064235,92.64000000000034,17
0.25,False,270,63287,-1364520.9999999485,-5053.781481481291,-7801.6342567799275,-0.12964428297154643,0.9444956426479956,31.70876261592928,53.95804002522024,95
0.75,False,270,56349,-8074457.999999867,-29905.399999999507,-8884.68617423744,-0.17085246763875658,0.83400854815496,32.2843432125598,81.14899999999965,10
0.5,False,270,59854,-4705074.999999906,-17426.203703703355,-9063.948886239466,-0.16145215811441282,0.8808088995047948,31.60474531652239,75.40499999999956,47
