config,variant,trades,net,win_rate,pf,expectancy,avg_r,max_dd,max_dd_pct,recovery,months_up,months
M15_LONDON_ORB15_INCLUDE_NEWS_RR1,ORIGINAL,398.0,-33515.0,42.7,0.838,-84.2,-0.14,-44560.0,-43.84,-0.75,4.0,8.0
M15_LONDON_ORB15_INCLUDE_NEWS_RR1,R,158.0,-4365.0,55.1,0.95,-27.6,0.099,-31510.0,-26.77,-0.14,4.0,8.0
M15_LONDON_ORB15_INCLUDE_NEWS_RR1,RR,276.0,16560.0,56.5,1.125,60.0,0.126,-24710.0,-20.3,0.67,4.0,8.0
M15_LONDON_ORB15_INCLUDE_NEWS_RR1,RRR,347.0,26315.0,57.1,1.166,75.8,0.137,-22565.0,-17.92,1.17,4.0,8.0
M15_LONDON_ORB15_INCLUDE_NEWS_RR1p5,ORIGINAL,390.0,-45453.0,33.6,0.806,-116.5,-0.181,-61644.0,-60.16,-0.74,2.0,8.0
M15_LONDON_ORB15_INCLUDE_NEWS_RR1p5,R,158.0,4471.0,48.1,1.045,28.3,0.19,-36020.0,-30.18,0.12,5.0,8.0
M15_LONDON_ORB15_INCLUDE_NEWS_RR1p5,RR,266.0,24028.0,47.7,1.163,90.3,0.164,-28178.0,-22.38,0.85,4.0,8.0
M15_LONDON_ORB15_INCLUDE_NEWS_RR1p5,RRR,312.0,34919.0,49.0,1.21,111.9,0.182,-22625.0,-17.5,1.54,4.0,8.0
M15_LONDON_ORB15_INCLUDE_NEWS_RR2,ORIGINAL,386.0,-53605.0,27.2,0.786,-138.9,-0.235,-63600.0,-62.88,-0.84,1.0,8.0
M15_LONDON_ORB15_INCLUDE_NEWS_RR2,R,158.0,745.0,40.5,1.007,4.7,0.173,-34060.0,-31.35,0.02,5.0,8.0
M15_LONDON_ORB15_INCLUDE_NEWS_RR2,RR,249.0,19585.0,41.8,1.132,78.7,0.164,-24170.0,-22.03,0.81,5.0,8.0
M15_LONDON_ORB15_INCLUDE_NEWS_RR2,RRR,282.0,28120.0,42.9,1.173,99.7,0.184,-18405.0,-16.83,1.53,5.0,8.0
M15_LONDON_ORB15_INCLUDE_NEWS_RR2p5,ORIGINAL,386.0,-41725.0,25.9,0.837,-108.1,-0.198,-64824.0,-58.32,-0.64,2.0,8.0
M15_LONDON_ORB15_INCLUDE_NEWS_RR2p5,R,158.0,7147.0,36.7,1.063,45.2,0.214,-34190.0,-31.02,0.21,6.0,8.0
M15_LONDON_ORB15_INCLUDE_NEWS_RR2p5,RR,240.0,31187.0,40.0,1.21,129.9,0.247,-22789.0,-20.29,1.37,5.0,8.0
M15_LONDON_ORB15_INCLUDE_NEWS_RR2p5,RRR,259.0,31430.0,40.2,1.199,121.4,0.24,-21361.0,-19.03,1.47,5.0,8.0
M15_LONDON_ORB15_INCLUDE_NEWS_RR3,ORIGINAL,385.0,-43815.0,24.7,0.831,-113.8,-0.182,-67125.0,-60.37,-0.65,4.0,8.0
M15_LONDON_ORB15_INCLUDE_NEWS_RR3,R,158.0,4710.0,34.8,1.041,29.8,0.238,-37615.0,-35.28,0.13,6.0,8.0
M15_LONDON_ORB15_INCLUDE_NEWS_RR3,RR,229.0,29515.0,38.4,1.199,128.9,0.292,-26900.0,-24.42,1.1,5.0,8.0
M15_LONDON_ORB15_INCLUDE_NEWS_RR3,RRR,244.0,34540.0,38.5,1.224,141.6,0.295,-24980.0,-22.66,1.38,6.0,8.0
M15_LONDON_ORB15_INCLUDE_NEWS_RR3p5,ORIGINAL,381.0,-67982.0,22.3,0.742,-178.4,-0.222,-85002.0,-82.9,-0.8,2.0,8.0
M15_LONDON_ORB15_INCLUDE_NEWS_RR3p5,R,158.0,15138.0,34.2,1.13,95.8,0.326,-37472.0,-34.9,0.4,6.0,8.0
M15_LONDON_ORB15_INCLUDE_NEWS_RR3p5,RR,224.0,34945.0,36.2,1.234,156.0,0.317,-26267.0,-24.13,1.33,5.0,8.0
M15_LONDON_ORB15_INCLUDE_NEWS_RR3p5,RRR,237.0,39368.0,36.3,1.255,166.1,0.311,-24712.0,-22.88,1.59,6.0,8.0
M15_LONDON_ORB15_INCLUDE_NEWS_RR4,ORIGINAL,381.0,-68430.0,21.5,0.742,-179.6,-0.214,-84895.0,-84.18,-0.81,2.0,8.0
M15_LONDON_ORB15_INCLUDE_NEWS_RR4,R,158.0,17215.0,31.6,1.145,109.0,0.325,-36475.0,-34.66,0.47,5.0,8.0
M15_LONDON_ORB15_INCLUDE_NEWS_RR4,RR,220.0,41275.0,35.0,1.278,187.6,0.354,-23730.0,-22.28,1.74,6.0,8.0
M15_LONDON_ORB15_INCLUDE_NEWS_RR4,RRR,232.0,42985.0,34.9,1.28,185.3,0.333,-22175.0,-20.98,1.94,6.0,8.0
M15_LONDON_ORB15_INCLUDE_NEWS_RR4p5,ORIGINAL,381.0,-63050.0,21.3,0.763,-165.5,-0.192,-77378.0,-77.94,-0.81,2.0,8.0
M15_LONDON_ORB15_INCLUDE_NEWS_RR4p5,R,158.0,12604.0,30.4,1.105,79.8,0.299,-34817.0,-32.94,0.36,5.0,8.0
M15_LONDON_ORB15_INCLUDE_NEWS_RR4p5,RR,218.0,32084.0,33.5,1.216,147.2,0.31,-23694.0,-21.92,1.35,6.0,8.0
M15_LONDON_ORB15_INCLUDE_NEWS_RR4p5,RRR,228.0,34964.0,33.8,1.229,153.4,0.301,-22139.0,-20.64,1.58,7.0,8.0
M15_LONDON_ORB15_INCLUDE_NEWS_RR5,ORIGINAL,381.0,-57535.0,21.0,0.784,-151.0,-0.179,-71385.0,-71.9,-0.81,3.0,8.0
M15_LONDON_ORB15_INCLUDE_NEWS_RR5,R,158.0,17835.0,29.7,1.149,112.9,0.329,-33160.0,-31.24,0.54,5.0,8.0
M15_LONDON_ORB15_INCLUDE_NEWS_RR5,RR,217.0,35695.0,32.3,1.239,164.5,0.31,-22495.0,-20.35,1.59,7.0,8.0
M15_LONDON_ORB15_INCLUDE_NEWS_RR5,RRR,227.0,38575.0,32.6,1.251,169.9,0.301,-21830.0,-20.21,1.77,7.0,8.0
M15_LONDON_ORB15_SKIP_NEWS_RR1,ORIGINAL,282.0,-42965.0,39.7,0.725,-152.4,-0.198,-50560.0,-50.2,-0.85,4.0,8.0
M15_LONDON_ORB15_SKIP_NEWS_RR1,R,107.0,4370.0,57.9,1.077,40.8,0.159,-17600.0,-14.99,0.25,4.0,8.0
M15_LONDON_ORB15_SKIP_NEWS_RR1,RR,189.0,20550.0,58.2,1.237,108.7,0.159,-20455.0,-16.27,1.0,4.0,8.0
M15_LONDON_ORB15_SKIP_NEWS_RR1,RRR,240.0,33715.0,60.0,1.332,140.5,0.192,-18890.0,-14.44,1.78,5.0,8.0
M15_LONDON_ORB15_SKIP_NEWS_RR1p5,ORIGINAL,276.0,-66282.0,30.1,0.628,-240.2,-0.269,-75519.0,-74.72,-0.88,2.0,8.0
M15_LONDON_ORB15_SKIP_NEWS_RR1p5,R,107.0,16928.0,53.3,1.273,158.2,0.322,-18858.0,-15.56,0.9,5.0,8.0
M15_LONDON_ORB15_SKIP_NEWS_RR1p5,RR,182.0,37858.0,52.7,1.404,208.0,0.289,-18416.0,-14.04,2.06,6.0,8.0
M15_LONDON_ORB15_SKIP_NEWS_RR1p5,RRR,218.0,49622.0,53.7,1.469,227.6,0.291,-14979.0,-11.02,3.31,5.0,8.0
M15_LONDON_ORB15_SKIP_NEWS_RR2,ORIGINAL,273.0,-76205.0,23.8,0.596,-279.1,-0.34,-79400.0,-79.97,-0.96,2.0,8.0
M15_LONDON_ORB15_SKIP_NEWS_RR2,R,107.0,11400.0,43.9,1.16,106.5,0.282,-18355.0,-16.1,0.62,6.0,8.0
M15_LONDON_ORB15_SKIP_NEWS_RR2,RR,171.0,34605.0,46.2,1.361,202.4,0.291,-14265.0,-12.19,2.43,5.0,8.0
M15_LONDON_ORB15_SKIP_NEWS_RR2,RRR,196.0,43300.0,47.4,1.41,220.9,0.304,-11970.0,-9.89,3.62,5.0,8.0
M15_LONDON_ORB15_SKIP_NEWS_RR2p5,ORIGINAL,273.0,-65368.0,23.1,0.657,-239.4,-0.288,-71220.0,-71.73,-0.92,2.0,8.0
M15_LONDON_ORB15_SKIP_NEWS_RR2p5,R,107.0,13882.0,39.3,1.186,129.7,0.31,-19943.0,-17.13,0.7,5.0,8.0
M15_LONDON_ORB15_SKIP_NEWS_RR2p5,RR,166.0,38047.0,43.4,1.387,229.2,0.351,-14907.0,-12.41,2.55,7.0,8.0
M15_LONDON_ORB15_SKIP_NEWS_RR2p5,RRR,179.0,38137.0,43.0,1.364,213.1,0.323,-12629.0,-10.52,3.02,7.0,8.0
M15_LONDON_ORB15_SKIP_NEWS_RR3,ORIGINAL,272.0,-60165.0,21.7,0.687,-221.2,-0.286,-65260.0,-65.59,-0.92,2.0,8.0
M15_LONDON_ORB15_SKIP_NEWS_RR3,R,107.0,6180.0,36.4,1.08,57.8,0.285,-19625.0,-18.1,0.31,4.0,8.0
M15_LONDON_ORB15_SKIP_NEWS_RR3,RR,159.0,30980.0,41.5,1.31,194.8,0.381,-16455.0,-14.41,1.88,5.0,8.0
M15_LONDON_ORB15_SKIP_NEWS_RR3,RRR,170.0,36450.0,41.8,1.349,214.4,0.398,-13500.0,-11.83,2.7,6.0,8.0
M15_LONDON_ORB15_SKIP_NEWS_RR3p5,ORIGINAL,269.0,-69214.0,19.7,0.643,-257.3,-0.317,-75220.0,-75.76,-0.92,2.0,8.0
M15_LONDON_ORB15_SKIP_NEWS_RR3p5,R,107.0,11338.0,35.5,1.145,106.0,0.354,-19895.0,-18.26,0.57,5.0,8.0
M15_LONDON_ORB15_SKIP_NEWS_RR3p5,RR,154.0,30320.0,38.3,1.3,196.9,0.369,-18200.0,-15.95,1.67,6.0,8.0
M15_LONDON_ORB15_SKIP_NEWS_RR3p5,RRR,163.0,35188.0,38.7,1.336,215.9,0.377,-16135.0,-14.21,2.18,6.0,8.0
M15_LONDON_ORB15_SKIP_NEWS_RR4,ORIGINAL,269.0,-73545.0,19.0,0.624,-273.4,-0.321,-79300.0,-79.87,-0.93,2.0,8.0
M15_LONDON_ORB15_SKIP_NEWS_RR4,R,107.0,8150.0,31.8,1.101,76.2,0.291,-19460.0,-18.22,0.42,6.0,8.0
M15_LONDON_ORB15_SKIP_NEWS_RR4,RR,151.0,29990.0,36.4,1.298,198.6,0.363,-19125.0,-16.77,1.57,6.0,8.0
M15_LONDON_ORB15_SKIP_NEWS_RR4,RRR,159.0,32145.0,36.5,1.308,202.2,0.352,-17060.0,-15.03,1.88,7.0,8.0
M15_LONDON_ORB15_SKIP_NEWS_RR4p5,ORIGINAL,269.0,-66305.0,19.0,0.661,-246.5,-0.286,-71966.0,-72.48,-0.92,3.0,8.0
