trade_month,strategy,net_profit,trades,configs,picks
2023-04,REVERSE_WORST,-17580.0,183,5,M1_LONDON_ORB30_INCLUDE_NEWS_RR3|RRR;M1_LONDON_ORB30_SKIP_NEWS_RR3|RRR;M1_LONDON_ORB30_INCLUDE_NEWS_RR3p5|RRR;M1_LONDON_ORB30_SKIP_NEWS_RR3p5|RRR;M15_LONDON_ORB30_INCLUDE_NEWS_RR4|R
2023-04,KEEP_WORST,-9132.0,273,5,M1_LONDON_ORB30_INCLUDE_NEWS_RR3|ORIGINAL;M1_LONDON_ORB30_SKIP_NEWS_RR3|ORIGINAL;M1_LONDON_ORB30_INCLUDE_NEWS_RR3p5|ORIGINAL;M1_LONDON_ORB30_SKIP_NEWS_RR3p5|ORIGINAL;M15_LONDON_ORB30_INCLUDE_NEWS_RR4|ORIGINAL
2023-04,FOLLOW_BEST,5258.0,376,5,M1_LONDON_ORB15_INCLUDE_NEWS_RR1|ORIGINAL;M1_LONDON_ORB15_SKIP_NEWS_RR1|ORIGINAL;M1_LONDON_ORB15_INCLUDE_NEWS_RR2|ORIGINAL;M1_LONDON_ORB15_SKIP_NEWS_RR2|ORIGINAL;M1_LONDON_ORB60_INCLUDE_NEWS_RR2p5|ORIGINAL
2023-04,ALL_ORIGINAL,-163690.0,7942,162,
2023-04,ALL_R,-240276.0,3078,162,
2023-04,ALL_RR,-247106.0,4780,162,
2023-04,ALL_RRR,-298338.0,5564,162,
2023-05,REVERSE_WORST,2029.0,115,5,M1_LONDON_ORB30_INCLUDE_NEWS_RR3|R;M1_LONDON_ORB30_SKIP_NEWS_RR3|R;M1_LONDON_ORB30_INCLUDE_NEWS_RR3p5|R;M1_LONDON_ORB30_SKIP_NEWS_RR3p5|R;M15_LONDON_ORB60_INCLUDE_NEWS_RR1p5|R
2023-05,KEEP_WORST,-2253.0,310,5,M1_LONDON_ORB30_INCLUDE_NEWS_RR3|ORIGINAL;M1_LONDON_ORB30_SKIP_NEWS_RR3|ORIGINAL;M1_LONDON_ORB30_INCLUDE_NEWS_RR3p5|ORIGINAL;M1_LONDON_ORB30_SKIP_NEWS_RR3p5|ORIGINAL;M15_LONDON_ORB60_INCLUDE_NEWS_RR1p5|ORIGINAL
2023-05,FOLLOW_BEST,-2972.0,437,5,M1_LONDON_ORB15_INCLUDE_NEWS_RR2|ORIGINAL;M1_LONDON_ORB15_SKIP_NEWS_RR2|ORIGINAL;M1_LONDON_ORB15_INCLUDE_NEWS_RR2p5|ORIGINAL;M1_LONDON_ORB15_SKIP_NEWS_RR2p5|ORIGINAL;M1_LONDON_ORB15_INCLUDE_NEWS_RR3|ORIGINAL
2023-05,ALL_ORIGINAL,-195898.0,9324,162,
2023-05,ALL_R,154340.0,3726,162,
2023-05,ALL_RR,315772.0,5716,162,
2023-05,ALL_RRR,308190.0,6638,162,
2023-06,REVERSE_WORST,-3750.0,173,5,M15_LONDON_ORB15_INCLUDE_NEWS_RR5|RR;M15_LONDON_ORB15_SKIP_NEWS_RR5|RR;M15_LONDON_ORB15_INCLUDE_NEWS_RR4|RR;M15_LONDON_ORB15_SKIP_NEWS_RR4|RR;M15_LONDON_ORB15_INCLUDE_NEWS_RR3|RR
2023-06,KEEP_WORST,-17070.0,276,5,M15_LONDON_ORB15_INCLUDE_NEWS_RR5|ORIGINAL;M15_LONDON_ORB15_SKIP_NEWS_RR5|ORIGINAL;M15_LONDON_ORB15_INCLUDE_NEWS_RR4|ORIGINAL;M15_LONDON_ORB15_SKIP_NEWS_RR4|ORIGINAL;M15_LONDON_ORB15_INCLUDE_NEWS_RR3|ORIGINAL
2023-06,FOLLOW_BEST,-6188.0,589,5,M1_LONDON_ORB15_INCLUDE_NEWS_RR3p5|ORIGINAL;M1_LONDON_ORB15_SKIP_NEWS_RR3p5|ORIGINAL;M1_LONDON_ORB15_INCLUDE_NEWS_RR1|ORIGINAL;M1_LONDON_ORB15_SKIP_NEWS_RR1|ORIGINAL;M5_LONDON_ORB15_INCLUDE_NEWS_RR3p5|ORIGINAL
2023-06,ALL_ORIGINAL,-319302.0,11706,162,
2023-06,ALL_R,-67318.0,3564,162,
2023-06,ALL_RR,-63558.0,6000,162,
2023-06,ALL_RRR,-92078.0,7090,162,
