month_pair,spearman
2023-01->2023-02,0.4446
2023-02->2023-03,-0.2128
2023-03->2023-04,0.1475
2023-04->2023-05,0.1372
2023-05->2023-06,0.5499
2023-06->2023-07,-0.0324
2023-07->2023-08,-0.3445
2023-08->2023-09,-0.4569
2023-09->2023-10,0.2611
2023-10->2023-11,0.0625
2023-11->2023-12,-0.0473
2023-12->2024-01,-0.0449
2024-01->2024-02,-0.3763
2024-02->2024-03,0.0857
2024-03->2024-04,-0.353
2024-04->2024-05,-0.0979
2024-05->2024-06,-0.2539
2024-06->2024-07,0.0714
2024-07->2024-08,-0.285
2024-08->2024-09,-0.104
2024-09->2024-10,0.4569
2024-10->2024-11,-0.2455
2024-11->2024-12,0.1794
2024-12->2025-01,0.0058
2025-01->2025-02,0.1866
2025-02->2025-03,-0.4834
2025-03->2025-04,0.1832
2025-04->2025-05,-0.755
2025-05->2025-06,0.3802
2025-06->2025-07,0.3981
2025-07->2025-08,-0.4238
2025-08->2025-09,0.4289
2025-09->2025-10,0.1284
2025-10->2025-11,0.1188
2025-11->2025-12,-0.2895
2025-12->2026-01,-0.4823
2026-01->2026-02,-0.1105
2026-02->2026-03,0.016
2026-03->2026-04,0.0863
2026-04->2026-05,0.4537
2026-05->2026-06,0.1678
2026-06->2026-07,0.4505
2026-07->2026-08,-0.0773
