fit_months,k,variant,months,net_profit,trades,hit_rate_%,max_dd
12,1,RR,32,-15170.0,1019,56.2,-38588.0
12,1,RRR,32,-15845.0,1160,59.4,-42304.0
12,1,best-in-fit,32,-18046.0,872,62.5,-42097.0
6,1,best-in-fit,38,-19531.0,1084,47.4,-29808.0
12,1,R,32,-20417.0,668,53.1,-49112.0
1,1,R,43,-20453.0,902,48.8,-38910.0
1,1,RRR,43,-28796.0,1698,48.8,-51072.0
1,1,best-in-fit,43,-29673.0,1439,51.2,-38426.0
6,1,RRR,38,-31006.0,1347,55.3,-44133.0
1,1,RR,43,-32369.0,1441,39.5,-45991.0
6,1,RR,38,-32396.0,1188,44.7,-43077.0
6,1,R,38,-36111.0,776,44.7,-55504.0
12,3,RR,32,-39802.0,2979,53.1,-95024.0
3,1,best-in-fit,41,-40660.0,1340,39.0,-53267.0
6,3,best-in-fit,38,-43587.0,3294,50.0,-84464.0
12,3,best-in-fit,32,-45029.0,2621,62.5,-106521.0
3,1,RR,41,-46355.0,1336,34.1,-55497.0
12,3,R,32,-47031.0,1973,65.6,-122481.0
12,3,RRR,32,-51262.0,3355,56.2,-119437.0
3,1,R,41,-51354.0,858,46.3,-67103.0
3,1,RRR,41,-55978.0,1553,36.6,-60867.0
6,3,RR,38,-64773.0,3548,47.4,-104480.0
6,3,RRR,38,-65482.0,4026,50.0,-119889.0
2,1,best-in-fit,42,-72084.0,1319,38.1,-77126.0
1,3,R,43,-76215.0,2687,39.5,-100200.0
2,1,R,42,-76316.0,880,35.7,-82733.0
6,3,R,38,-78690.0,2327,44.7,-125349.0
1,3,RRR,43,-83262.0,5109,41.9,-120005.0
2,1,RR,42,-83379.0,1370,40.5,-89703.0
2,1,RRR,42,-87030.0,1593,50.0,-95867.0
1,3,best-in-fit,43,-87085.0,4326,41.9,-98480.0
1,3,RR,43,-93067.0,4319,44.2,-111129.0
12,5,R,32,-97208.0,3288,62.5,-206487.0
12,5,RR,32,-101353.0,4923,50.0,-179056.0
3,3,best-in-fit,41,-107584.0,3941,41.5,-121804.0
6,5,best-in-fit,38,-108808.0,5532,50.0,-171299.0
12,5,best-in-fit,32,-112039.0,4493,50.0,-198058.0
3,3,RR,41,-121840.0,3948,39.0,-141122.0
12,5,RRR,32,-123510.0,5517,50.0,-216469.0
3,5,best-in-fit,41,-132238.0,6474,41.5,-185036.0
3,3,RRR,41,-136528.0,4593,39.0,-142724.0
6,5,RR,38,-138662.0,5907,44.7,-195588.0
6,5,RRR,38,-146507.0,6724,47.4,-213025.0
3,3,R,41,-151005.0,2539,41.5,-167197.0
3,5,RR,41,-164506.0,6523,41.5,-219465.0
6,5,R,38,-164962.0,3889,44.7,-220114.0
3,10,best-in-fit,41,-165488.0,12851,43.9,-313126.0
1,5,RRR,43,-169988.0,8480,44.2,-206545.0
3,5,RRR,41,-172710.0,7565,36.6,-214957.0
1,5,R,43,-173591.0,4459,41.9,-217662.0
2,3,best-in-fit,42,-173784.0,4101,47.6,-188876.0
3,10,RR,41,-176399.0,12937,46.3,-382238.0
1,5,best-in-fit,43,-180494.0,7013,46.5,-204556.0
3,10,RRR,41,-184528.0,14966,43.9,-393050.0
1,5,RR,43,-189819.0,7161,46.5,-207643.0
2,3,RR,42,-195426.0,4104,45.2,-215633.0
6,10,best-in-fit,38,-197035.0,10673,47.4,-321170.0
2,3,R,42,-199608.0,2616,38.1,-218211.0
3,5,R,41,-200680.0,4222,39.0,-247739.0
2,3,RRR,42,-201447.0,4809,50.0,-224386.0
12,10,RR,32,-220179.0,9719,46.9,-347883.0
6,10,RRR,38,-236197.0,12983,47.4,-361386.0
6,10,RR,38,-241267.0,11524,47.4,-342225.0
2,5,best-in-fit,42,-243995.0,6793,42.9,-261141.0
2,10,best-in-fit,42,-251194.0,13299,45.2,-344445.0
12,10,R,32,-259570.0,6543,50.0,-413452.0
12,10,best-in-fit,32,-264782.0,9010,50.0,-390184.0
3,10,R,41,-278423.0,8437,43.9,-365738.0
12,10,RRR,32,-278656.0,10891,46.9,-405790.0
2,5,RR,42,-286891.0,6807,45.2,-311811.0
2,5,RRR,42,-288337.0,7967,42.9,-313183.0
2,10,RRR,42,-300514.0,15712,45.2,-405359.0
2,10,RR,42,-301984.0,13476,47.6,-398106.0
2,5,R,42,-311661.0,4353,38.1,-330416.0
6,10,R,38,-322496.0,7741,52.6,-427935.0
1,10,best-in-fit,43,-348825.0,13622,44.2,-419647.0
1,10,RR,43,-370593.0,14064,51.2,-431467.0
1,10,R,43,-375438.0,8885,39.5,-463540.0
1,10,RRR,43,-389724.0,16539,44.2,-448904.0
2,10,R,42,-392239.0,8687,42.9,-457620.0
