fit_months,worst_k,strategy,net_profit,trades,months,hit_rate_%,max_dd,avg_month
1,1,REVERSE_WORST,-29673.0,1439,43,51.2,-38426.0,-690.07
1,1,KEEP_WORST,-40370.0,2544,43,44.2,-57403.0,-938.84
1,1,FOLLOW_BEST,-87998.0,2905,43,39.5,-96953.0,-2046.47
1,3,REVERSE_WORST,-87085.0,4326,43,41.9,-98480.0,-2025.23
1,3,KEEP_WORST,-141986.0,7678,43,44.2,-180242.0,-3302.0
1,3,FOLLOW_BEST,-135026.0,8415,43,39.5,-173256.0,-3140.14
1,5,REVERSE_WORST,-180494.0,7013,43,46.5,-204556.0,-4197.53
1,5,KEEP_WORST,-235397.0,12777,43,44.2,-264381.0,-5474.35
1,5,FOLLOW_BEST,-250315.0,13709,43,39.5,-310664.0,-5821.28
1,10,REVERSE_WORST,-348825.0,13622,43,44.2,-419647.0,-8112.21
1,10,KEEP_WORST,-470940.0,24832,43,41.9,-540081.0,-10952.09
1,10,FOLLOW_BEST,-469010.0,26336,43,44.2,-580668.0,-10907.21
2,1,REVERSE_WORST,-72084.0,1319,42,38.1,-77126.0,-1716.29
2,1,KEEP_WORST,-2903.0,2324,42,50.0,-24244.0,-69.12
2,1,FOLLOW_BEST,-71996.0,2589,42,50.0,-79991.0,-1714.19
2,3,REVERSE_WORST,-173784.0,4101,42,47.6,-188876.0,-4137.71
2,3,KEEP_WORST,-61120.0,7114,42,50.0,-128586.0,-1455.24
2,3,FOLLOW_BEST,-155726.0,7708,42,47.6,-181746.0,-3707.76
2,5,REVERSE_WORST,-243995.0,6793,42,42.9,-261141.0,-5809.4
2,5,KEEP_WORST,-99599.0,11771,42,52.4,-231484.0,-2371.4
2,5,FOLLOW_BEST,-302084.0,12900,42,45.2,-349194.0,-7192.48
2,10,REVERSE_WORST,-251194.0,13299,42,45.2,-344445.0,-5980.81
2,10,KEEP_WORST,-193144.0,23564,42,47.6,-400892.0,-4598.67
2,10,FOLLOW_BEST,-554606.0,25390,42,38.1,-646327.0,-13204.9
3,1,REVERSE_WORST,-40660.0,1340,41,39.0,-53267.0,-991.71
3,1,KEEP_WORST,-12783.0,2271,41,46.3,-15085.0,-311.78
3,1,FOLLOW_BEST,-51649.0,2656,41,39.0,-67819.0,-1259.73
3,3,REVERSE_WORST,-107584.0,3941,41,41.5,-121804.0,-2624.0
3,3,KEEP_WORST,-64737.0,6700,41,46.3,-95751.0,-1578.95
3,3,FOLLOW_BEST,-134504.0,7895,41,43.9,-176117.0,-3280.59
3,5,REVERSE_WORST,-132238.0,6474,41,41.5,-185036.0,-3225.32
3,5,KEEP_WORST,-89609.0,11037,41,51.2,-159993.0,-2185.59
3,5,FOLLOW_BEST,-282188.0,12675,41,43.9,-332706.0,-6882.63
3,10,REVERSE_WORST,-165488.0,12851,41,43.9,-313126.0,-4036.29
3,10,KEEP_WORST,-163539.0,21949,41,53.7,-319172.0,-3988.76
3,10,FOLLOW_BEST,-632172.0,25802,41,39.0,-712353.0,-15418.83
6,1,REVERSE_WORST,-19531.0,1084,38,47.4,-29808.0,-513.97
6,1,KEEP_WORST,-18930.0,1806,38,50.0,-31603.0,-498.16
6,1,FOLLOW_BEST,-58323.0,2576,38,39.5,-63976.0,-1534.82
6,3,REVERSE_WORST,-43587.0,3294,38,50.0,-84464.0,-1147.03
6,3,KEEP_WORST,-85252.0,5404,38,47.4,-103535.0,-2243.47
6,3,FOLLOW_BEST,-197187.0,7681,38,42.1,-207202.0,-5189.13
6,5,REVERSE_WORST,-108808.0,5532,38,50.0,-171299.0,-2863.37
6,5,KEEP_WORST,-109547.0,9204,38,42.1,-149148.0,-2882.82
6,5,FOLLOW_BEST,-301314.0,12568,38,42.1,-325427.0,-7929.32
6,10,REVERSE_WORST,-197035.0,10673,38,47.4,-321170.0,-5185.13
6,10,KEEP_WORST,-245769.0,18060,38,47.4,-342367.0,-6467.61
6,10,FOLLOW_BEST,-606793.0,24308,38,42.1,-679988.0,-15968.24
