fit_months,worst_k,FOLLOW_BEST,KEEP_WORST,REVERSE_WORST
1,1,-87998.0,-40370.0,-29673.0
1,3,-135026.0,-141986.0,-87085.0
1,5,-250315.0,-235397.0,-180494.0
1,10,-469010.0,-470940.0,-348825.0
2,1,-71996.0,-2903.0,-72084.0
2,3,-155726.0,-61120.0,-173784.0
2,5,-302084.0,-99599.0,-243995.0
2,10,-554606.0,-193144.0,-251194.0
3,1,-51649.0,-12783.0,-40660.0
3,3,-134504.0,-64737.0,-107584.0
3,5,-282188.0,-89609.0,-132238.0
3,10,-632172.0,-163539.0,-165488.0
6,1,-58323.0,-18930.0,-19531.0
6,3,-197187.0,-85252.0,-43587.0
6,5,-301314.0,-109547.0,-108808.0
6,10,-606793.0,-245769.0,-197035.0
