#,ticket,direction,lots,session_name,session,trade_in_session,entry_time,entry_price,sl,tp,exit_time,exit_price,exit_reason,range_high,range_low,range_mid,gross_profit,commission,net_profit,r_multiple,balance_after,duration_min
1,1,BUY,1.0,asia,2026-01-01 19:00:00,1,2026-01-01 19:57:00,4368.3,4360.4,4384.1,2026-01-01 20:04:00,4360.4,STOP LOSS hit,4366.3,4354.5,4360.4,-790.0000000000546,0.0,-790.0000000000546,-1.0,99209.99999999994,7.0
2,2,BUY,1.0,asia,2026-01-01 19:00:00,2,2026-01-01 20:51:00,4366.7,4360.4,4379.3,2026-01-01 21:08:00,4360.4,STOP LOSS hit,4366.3,4354.5,4360.4,-630.0000000000182,0.0,-630.0000000000182,-1.0,98579.99999999993,17.0
5,5,BUY,1.0,asia,2026-01-04 19:00:00,1,2026-01-04 19:32:00,4399.1,4389.1,4419.1,2026-01-04 20:02:00,4419.1,TAKE PROFIT hit,4398.9,4379.3,4389.1,2000.0,0.0,2000.0,2.0,99695.99999999991,30.0
9,9,SELL,1.0,asia,2026-01-06 19:00:00,1,2026-01-06 19:46:00,4500.0,4503.3,4493.4,2026-01-06 19:53:00,4493.4,TAKE PROFIT hit,4505.7,4500.9,4503.299999999999,660.0000000000364,0.0,660.0000000000364,2.0,99846.0,7.0
10,10,SELL,1.0,asia,2026-01-06 19:00:00,2,2026-01-06 20:02:00,4496.0,4503.3,4481.4,2026-01-06 20:10:00,4481.4,TAKE PROFIT hit,4505.7,4500.9,4503.299999999999,1460.0000000000364,0.0,1460.0000000000364,2.0,101306.00000000003,8.0
14,14,SELL,1.0,asia,2026-01-08 19:00:00,1,2026-01-08 19:51:00,4473.0,4479.85,4459.3,2026-01-08 21:00:00,4479.85,STOP LOSS hit,4486.9,4472.8,4479.85,-685.0000000000364,0.0,-685.0000000000364,-1.0,102487.00000000009,69.0
15,15,SELL,1.0,asia,2026-01-08 19:00:00,2,2026-01-08 22:12:00,4472.0,4479.85,4456.3,2026-01-09 00:34:00,4479.85,STOP LOSS hit,4486.9,4472.8,4479.85,-785.0000000000364,0.0,-785.0000000000364,-1.0,101702.00000000006,142.0
16,16,BUY,1.0,asia,2026-01-11 19:00:00,1,2026-01-11 19:31:00,4577.3,4561.35,4609.2,2026-01-11 19:54:00,4609.2,TAKE PROFIT hit,4576.4,4546.3,4561.35,3189.9999999999636,0.0,3189.9999999999636,2.0,104892.00000000003,23.0
17,17,BUY,1.0,asia,2026-01-11 19:00:00,2,2026-01-11 21:10:00,4579.5,4561.35,4615.8,2026-01-12 02:55:00,4596.3,stop time,4576.4,4546.3,4561.35,1680.0000000000182,0.0,1680.0000000000182,0.9256198347107724,106572.00000000004,345.0
21,21,SELL,1.0,asia,2026-01-12 19:00:00,1,2026-01-12 19:35:00,4596.7,4602.1,4585.9,2026-01-12 20:08:00,4602.1,STOP LOSS hit,4607.7,4596.5,4602.1,-540.0000000000546,0.0,-540.0000000000546,-1.0,107762.99999999994,33.0
22,22,SELL,1.0,asia,2026-01-12 19:00:00,2,2026-01-12 20:19:00,4594.2,4602.1,4578.4,2026-01-12 21:46:00,4602.1,STOP LOSS hit,4607.7,4596.5,4602.1,-790.0000000000546,0.0,-790.0000000000546,-1.0,106972.99999999988,87.0
25,25,SELL,1.0,asia,2026-01-15 19:00:00,1,2026-01-15 19:36:00,4606.2,4611.3,4596.0,2026-01-15 20:27:00,4611.3,STOP LOSS hit,4615.1,4607.5,4611.3,-510.0000000000364,0.0,-510.0000000000364,-1.0,106462.99999999994,51.0
26,26,SELL,1.0,asia,2026-01-15 19:00:00,2,2026-01-15 20:34:00,4606.3,4611.3,4596.3,2026-01-15 20:41:00,4611.3,STOP LOSS hit,4615.1,4607.5,4611.3,-500.0,0.0,-500.0,-1.0,105962.99999999994,7.0
