#,ticket,direction,lots,session_name,session,trade_in_session,entry_time,entry_price,sl,tp,exit_time,exit_price,exit_reason,range_high,range_low,range_mid,gross_profit,commission,net_profit,r_multiple,balance_after,duration_min
3,3,SELL,1.0,london,2026-01-02 03:00:00,1,2026-01-02 03:45:00,4402.7,4407.12,4398.28,2026-01-02 03:46:00,4407.12,STOP LOSS hit,4398.5,4392.6,4395.55,-442.0000000000073,0.0,-442.0000000000073,-1.0,98137.99999999991,1.0
4,4,SELL,1.0,london,2026-01-02 03:00:00,2,2026-01-02 05:15:00,4400.2,4404.62,4395.78,2026-01-02 05:37:00,4404.62,STOP LOSS hit,4398.5,4392.6,4395.55,-442.0000000000073,0.0,-442.0000000000073,-1.0,97695.99999999991,22.0
6,6,SELL,1.0,london,2026-01-06 03:00:00,1,2026-01-06 03:30:00,4481.4,4486.5,4476.3,2026-01-06 03:41:00,4476.3,TAKE PROFIT hit,4473.7,4466.9,4470.299999999999,509.99999999994543,0.0,509.99999999994543,0.9999999999998217,100205.99999999985,11.0
7,7,BUY,1.0,london,2026-01-06 03:00:00,2,2026-01-06 04:45:00,4465.9,4460.8,4471.0,2026-01-06 04:47:00,4460.8,STOP LOSS hit,4473.7,4466.9,4470.299999999999,-509.99999999994543,0.0,-509.99999999994543,-1.0,99695.99999999991,2.0
8,8,SELL,1.0,london,2026-01-06 03:00:00,3,2026-01-06 07:00:00,4474.1,4479.2,4469.0,2026-01-06 08:16:00,4479.2,STOP LOSS hit,4473.7,4466.9,4470.299999999999,-509.99999999994543,0.0,-509.99999999994543,-1.0,99185.99999999997,76.0
11,11,BUY,1.0,london,2026-01-08 03:00:00,1,2026-01-08 03:45:00,4428.8,4422.58,4435.02,2026-01-08 03:53:00,4435.02,TAKE PROFIT hit,4441.4,4433.1,4437.25,622.0000000000255,0.0,622.0000000000255,1.0,101928.00000000006,8.0
12,12,BUY,1.0,london,2026-01-08 03:00:00,2,2026-01-08 05:30:00,4432.2,4425.98,4438.42,2026-01-08 05:33:00,4438.42,TAKE PROFIT hit,4441.4,4433.1,4437.25,622.0000000000255,0.0,622.0000000000255,1.0,102550.00000000009,3.0
13,13,SELL,1.0,london,2026-01-08 03:00:00,3,2026-01-08 06:00:00,4441.5,4447.72,4435.28,2026-01-08 06:22:00,4435.28,TAKE PROFIT hit,4441.4,4433.1,4437.25,622.0000000000255,0.0,622.0000000000255,1.0,103172.00000000012,22.0
18,18,SELL,1.0,london,2026-01-12 03:00:00,1,2026-01-12 04:00:00,4606.9,4612.67,4601.13,2026-01-12 04:49:00,4601.13,TAKE PROFIT hit,4599.8,4592.1,4595.950000000001,576.9999999999527,0.0,576.9999999999527,0.9999999999998423,107149.0,49.0
19,19,SELL,1.0,london,2026-01-12 03:00:00,2,2026-01-12 05:15:00,4602.3,4608.07,4596.53,2026-01-12 06:24:00,4596.53,TAKE PROFIT hit,4599.8,4592.1,4595.950000000001,577.0000000000437,0.0,577.0000000000437,1.0000000000001577,107726.00000000004,69.0
20,20,SELL,1.0,london,2026-01-12 03:00:00,3,2026-01-12 06:45:00,4601.7,4607.47,4595.93,2026-01-12 06:50:00,4595.93,TAKE PROFIT hit,4599.8,4592.1,4595.950000000001,576.9999999999527,0.0,576.9999999999527,0.9999999999998423,108303.0,5.0
23,23,SELL,1.0,london,2026-01-15 03:00:00,1,2026-01-15 03:45:00,4610.6,4615.78,4605.42,2026-01-15 03:55:00,4605.42,TAKE PROFIT hit,4609.1,4602.2,4605.65,518.0000000000291,0.0,518.0000000000291,1.0000000000001756,107490.99999999991,10.0
24,24,SELL,1.0,london,2026-01-15 03:00:00,2,2026-01-15 04:45:00,4613.6,4618.78,4608.42,2026-01-15 05:18:00,4618.78,STOP LOSS hit,4609.1,4602.2,4605.65,-517.9999999999382,0.0,-517.9999999999382,-1.0,106972.99999999997,33.0
27,27,BUY,1.0,london,2026-01-16 03:00:00,1,2026-01-16 03:45:00,4605.9,4601.62,4610.18,2026-01-16 03:54:00,4610.18,TAKE PROFIT hit,4614.5,4608.8,4611.65,428.0000000000655,0.0,428.0000000000655,1.0000000000002125,106391.0,9.0
28,28,BUY,1.0,london,2026-01-16 03:00:00,2,2026-01-16 06:00:00,4604.1,4599.83,4608.37,2026-01-16 06:13:00,4608.37,TAKE PROFIT hit,4614.5,4608.8,4611.65,426.9999999999527,0.0,426.9999999999527,0.999999999999787,106817.99999999996,13.0
29,29,SELL,1.0,london,2026-01-16 03:00:00,3,2026-01-16 06:30:00,4614.9,4619.17,4610.63,2026-01-16 06:41:00,4619.17,STOP LOSS hit,4614.5,4608.8,4611.65,-427.00000000004366,0.0,-427.00000000004366,-1.0,106390.99999999991,11.0
32,32,BUY,1.0,london,2026-01-19 03:00:00,1,2026-01-19 04:00:00,4668.0,4660.58,4675.42,2026-01-19 04:12:00,4675.42,TAKE PROFIT hit,4678.9,4669.0,4673.95,742.0000000000073,0.0,742.0000000000073,1.0,105332.99999999991,12.0
33,33,BUY,1.0,london,2026-01-19 03:00:00,2,2026-01-19 05:45:00,4666.4,4658.98,4673.82,2026-01-19 07:16:00,4673.82,TAKE PROFIT hit,4678.9,4669.0,4673.95,742.0000000000073,0.0,742.0000000000073,1.0,106074.99999999991,91.0
35,35,SELL,1.0,london,2026-01-20 03:00:00,1,2026-01-20 04:00:00,4735.5,4743.68,4727.32,2026-01-20 04:20:00,4727.32,TAKE PROFIT hit,4731.3,4720.4,4725.85,818.0000000000291,0.0,818.0000000000291,1.0,108102.99999999997,20.0
36,36,SELL,1.0,london,2026-01-20 03:00:00,2,2026-01-20 06:00:00,4732.3,4740.48,4724.12,2026-01-20 06:52:00,4740.48,STOP LOSS hit,4731.3,4720.4,4725.85,-817.9999999999382,0.0,-817.9999999999382,-1.0,107285.00000000003,52.0
37,37,SELL,1.0,london,2026-01-20 03:00:00,3,2026-01-20 08:45:00,4735.6,4743.78,4727.42,2026-01-20 08:59:00,4743.78,STOP LOSS hit,4731.3,4720.4,4725.85,-817.9999999999382,0.0,-817.9999999999382,-1.0,106467.00000000009,14.0
39,39,SELL,1.0,london,2026-01-21 03:00:00,1,2026-01-21 03:30:00,4868.8,4876.6,4861.0,2026-01-21 03:47:00,4861.0,TAKE PROFIT hit,4866.1,4855.7,4860.9,780.0000000000182,0.0,780.0000000000182,1.0,108347.0000000001,17.0
