config,timeframe,session,orb_minutes,news_mode,risk_reward,range_start,range_end,stop_time,trades,wins,losses,win_rate,net_profit,profit_factor,expectancy,max_dd_money,max_dd_pct,max_consec_wins,max_consec_losses,avg_r,total_r,recovery_factor,long_net,short_net,avg_duration_min,folder
M1_ASIA_ORB15_INCLUDE_NEWS_RR1,M1,ASIA,15,INCLUDE_NEWS,1.0,19:00,19:15,03:00,966,496,470,51.345755693581786,34049.99999999782,1.1255137585933526,35.24844720496673,13974.999999999869,13.821580456928015,9,8,0.026927870825552664,26.012323217483875,2.4364937388191867,19569.99999999757,14480.000000000291,12.182194616977226,rr_matrix_out/M1_ASIA_ORB15_INCLUDE_NEWS_RR1
M1_ASIA_ORB15_INCLUDE_NEWS_RR1p5,M1,ASIA,15,INCLUDE_NEWS,1.5,19:00,19:15,03:00,895,381,514,42.56983240223464,63958.99999999782,1.2178588459704263,71.46256983240002,22728.000000000393,15.480812456578008,5,12,0.0602060509130474,53.88441556717742,2.8141059486095,43276.999999997635,20682.000000000382,17.97877094972067,rr_matrix_out/M1_ASIA_ORB15_INCLUDE_NEWS_RR1p5
M1_ASIA_ORB15_INCLUDE_NEWS_RR2,M1,ASIA,15,INCLUDE_NEWS,2.0,19:00,19:15,03:00,857,314,543,36.63943990665111,88054.99999999793,1.284383225410557,102.7479579929969,23480.000000000495,14.15609079673261,5,16,0.08259434863143919,70.78335677714338,3.7502129471889303,57424.99999999809,30630.000000000247,23.043173862310386,rr_matrix_out/M1_ASIA_ORB15_INCLUDE_NEWS_RR2
M1_ASIA_ORB15_INCLUDE_NEWS_RR2p5,M1,ASIA,15,INCLUDE_NEWS,2.5,19:00,19:15,03:00,826,255,571,30.871670702179177,48559.99999999776,1.1494337764647882,58.78934624697081,32105.0000000007,23.08267487256228,4,23,0.04578658513642008,37.819719322682985,1.5125369880079957,17549.999999997453,31010.000000000444,29.23728813559322,rr_matrix_out/M1_ASIA_ORB15_INCLUDE_NEWS_RR2p5
M1_ASIA_ORB15_INCLUDE_NEWS_RR3,M1,ASIA,15,INCLUDE_NEWS,3.0,19:00,19:15,03:00,809,226,583,27.935723114956733,47744.999999997875,1.1443559237478953,59.01730531520135,27820.000000000466,21.05581835383203,4,23,0.056168573391118935,45.44037587341522,1.7162113587346182,27414.99999999792,20329.999999999975,34.49320148331273,rr_matrix_out/M1_ASIA_ORB15_INCLUDE_NEWS_RR3
M1_ASIA_ORB15_INCLUDE_NEWS_RR3p5,M1,ASIA,15,INCLUDE_NEWS,3.5,19:00,19:15,03:00,799,197,602,24.6558197747184,51658.999999998225,1.1526701539734558,64.65456821026098,27417.000000000407,18.87599140779935,4,23,0.02266391389195105,18.108467199668887,1.884195936827423,32962.99999999801,18696.000000000502,38.10012515644556,rr_matrix_out/M1_ASIA_ORB15_INCLUDE_NEWS_RR3p5
M1_ASIA_ORB15_INCLUDE_NEWS_RR4,M1,ASIA,15,INCLUDE_NEWS,4.0,19:00,19:15,03:00,795,185,610,23.270440251572328,65789.99999999776,1.1926895703365195,82.7547169811298,28520.000000000437,17.588110141531565,3,30,0.04474806707278954,35.57471332286769,2.3068022440391567,42039.999999997555,23750.000000000637,41.640251572327045,rr_matrix_out/M1_ASIA_ORB15_INCLUDE_NEWS_RR4
M1_ASIA_ORB15_INCLUDE_NEWS_RR4p5,M1,ASIA,15,INCLUDE_NEWS,4.5,19:00,19:15,03:00,789,176,613,22.306717363751584,69407.99999999825,1.2030007896814896,87.96958174904759,28150.000000000524,17.365823565700524,3,30,0.05835853730764328,46.04488593573055,2.4656483126109046,39216.999999998276,30191.00000000026,45.97972116603295,rr_matrix_out/M1_ASIA_ORB15_INCLUDE_NEWS_RR4p5
M1_ASIA_ORB15_INCLUDE_NEWS_RR5,M1,ASIA,15,INCLUDE_NEWS,5.0,19:00,19:15,03:00,787,172,615,21.855146124523507,92619.99999999788,1.2705655526992228,117.68742058449617,27780.000000000495,16.082903954148396,3,30,0.0975434555260185,76.76669949897655,3.334053275737805,49794.99999999816,42825.00000000032,48.65946632782719,rr_matrix_out/M1_ASIA_ORB15_INCLUDE_NEWS_RR5
M1_ASIA_ORB30_INCLUDE_NEWS_RR1,M1,ASIA,30,INCLUDE_NEWS,1.0,19:00,19:30,03:00,776,414,362,53.350515463917525,56289.99999999881,1.2252005360964928,72.5386597938128,15060.000000000233,12.505347212319947,11,8,0.07011128052551222,54.40635368779748,3.7377158034527183,31524.999999998952,24764.99999999978,17.625,rr_matrix_out/M1_ASIA_ORB30_INCLUDE_NEWS_RR1
M1_ASIA_ORB30_INCLUDE_NEWS_RR1p5,M1,ASIA,30,INCLUDE_NEWS,1.5,19:00,19:30,03:00,712,316,396,44.38202247191011,96955.99999999898,1.3647087588632432,136.1741573033691,22585.000000000175,13.619369233552591,6,10,0.10893495312797134,77.56168662711559,4.2929377905688835,50346.999999999345,46608.99999999947,25.278089887640448,rr_matrix_out/M1_ASIA_ORB30_INCLUDE_NEWS_RR1p5
M1_ASIA_ORB30_INCLUDE_NEWS_RR2,M1,ASIA,30,INCLUDE_NEWS,2.0,19:00,19:30,03:00,677,258,419,38.10930576070901,114934.99999999939,1.4091014255459218,169.77104874445942,21180.000000000116,11.604207758053994,5,11,0.12595754635471634,85.27325888214297,5.426581680830914,62769.99999999879,52165.00000000023,32.887740029542094,rr_matrix_out/M1_ASIA_ORB30_INCLUDE_NEWS_RR2
M1_ASIA_ORB30_INCLUDE_NEWS_RR2p5,M1,ASIA,30,INCLUDE_NEWS,2.5,19:00,19:30,03:00,650,212,438,32.61538461538461,72647.9999999993,1.250079173838207,111.76615384615259,22686.999999999956,16.25248046077474,5,20,0.09921343915105209,64.48873544818386,3.202186274077641,42305.999999999265,30341.999999999913,41.536923076923074,rr_matrix_out/M1_ASIA_ORB30_INCLUDE_NEWS_RR2p5
M1_ASIA_ORB30_INCLUDE_NEWS_RR3,M1,ASIA,30,INCLUDE_NEWS,3.0,19:00,19:30,03:00,641,197,444,30.733229329173167,101619.99999999985,1.345423025935619,158.53354134165352,22910.000000000233,14.867934324096435,4,20,0.14963466285468638,95.91581888985397,4.4356176342208125,51619.99999999975,50000.00000000013,47.91263650546022,rr_matrix_out/M1_ASIA_ORB30_INCLUDE_NEWS_RR3
M1_ASIA_ORB30_INCLUDE_NEWS_RR3p5,M1,ASIA,30,INCLUDE_NEWS,3.5,19:00,19:30,03:00,633,176,457,27.804107424960506,107592.99999999959,1.3583685840855322,169.9731437598726,23960.00000000029,13.50186242300968,3,27,0.12775891794207422,80.87139505733299,4.490525876460697,55704.99999999924,51888.0000000001,53.94628751974724,rr_matrix_out/M1_ASIA_ORB30_INCLUDE_NEWS_RR3p5
M1_ASIA_ORB30_INCLUDE_NEWS_RR4,M1,ASIA,30,INCLUDE_NEWS,4.0,19:00,19:30,03:00,630,167,463,26.50793650793651,120425.00000000015,1.3972783505154636,191.15079365079345,23410.000000000204,12.535139621429266,3,27,0.1521989377487851,95.88533078173461,5.144169158479244,60844.99999999912,59580.00000000074,58.8063492063492,rr_matrix_out/M1_ASIA_ORB30_INCLUDE_NEWS_RR4
M1_ASIA_ORB30_INCLUDE_NEWS_RR4p5,M1,ASIA,30,INCLUDE_NEWS,4.5,19:00,19:30,03:00,624,159,465,25.48076923076923,134511.99999999977,1.4433487145682253,215.56410256410183,22860.00000000029,12.389404953112411,3,27,0.16690096858073514,104.14620439437873,5.884164479439985,66663.99999999936,67848.00000000019,63.25320512820513,rr_matrix_out/M1_ASIA_ORB30_INCLUDE_NEWS_RR4p5
M1_ASIA_ORB30_INCLUDE_NEWS_RR5,M1,ASIA,30,INCLUDE_NEWS,5.0,19:00,19:30,03:00,619,153,466,24.717285945072696,124479.99999999997,1.4097972083223589,201.0985460420028,22310.000000000262,12.951362212634935,3,27,0.17315364239202108,107.18210464066105,5.579560735096303,68979.99999999948,55500.00000000028,68.29240710823909,rr_matrix_out/M1_ASIA_ORB30_INCLUDE_NEWS_RR5
M1_ASIA_ORB60_INCLUDE_NEWS_RR1,M1,ASIA,60,INCLUDE_NEWS,1.0,19:00,20:00,03:00,552,296,256,53.62318840579711,54720.00000000108,1.224552188275852,99.1304347826104,19849.99999999994,14.24930907002616,9,6,0.08127125859126805,44.86173474237996,2.7566750629723544,48000.00000000045,6720.000000000482,28.58514492753623,rr_matrix_out/M1_ASIA_ORB60_INCLUDE_NEWS_RR1
M1_ASIA_ORB60_INCLUDE_NEWS_RR1p5,M1,ASIA,60,INCLUDE_NEWS,1.5,19:00,20:00,03:00,497,218,279,43.86317907444668,60813.00000000038,1.232852794210559,122.36016096579591,26073.999999999738,17.728852051050033,6,10,0.08224671422692163,40.87661697078005,2.332323387282388,40605.00000000029,20208.000000000266,44.92354124748491,rr_matrix_out/M1_ASIA_ORB60_INCLUDE_NEWS_RR1p5
M1_ASIA_ORB60_INCLUDE_NEWS_RR2,M1,ASIA,60,INCLUDE_NEWS,2.0,19:00,20:00,03:00,478,186,292,38.912133891213394,89119.99999999974,1.3312641712820132,186.4435146443512,23999.999999999884,14.02688486265338,6,18,0.11991396372197285,57.318874659103024,3.7133333333333405,44349.999999999956,44769.999999999935,56.11715481171548,rr_matrix_out/M1_ASIA_ORB60_INCLUDE_NEWS_RR2
M1_ASIA_ORB60_INCLUDE_NEWS_RR2p5,M1,ASIA,60,INCLUDE_NEWS,2.5,19:00,20:00,03:00,463,163,300,35.20518358531318,69074.00000000023,1.2517824597215155,149.18790496760363,28240.99999999981,17.900221209489747,5,18,0.1172578603953495,54.29038936304681,2.445876562444697,30196.000000000004,38878.000000000466,69.53131749460043,rr_matrix_out/M1_ASIA_ORB60_INCLUDE_NEWS_RR2p5
M1_ASIA_ORB60_INCLUDE_NEWS_RR3,M1,ASIA,60,INCLUDE_NEWS,3.0,19:00,20:00,03:00,456,153,303,33.55263157894737,90710.00000000035,1.3285998913240376,198.9254385964923,24414.999999999447,14.847812205430403,5,18,0.14978563397905725,68.3022490944501,3.7153389309851486,40990.000000000146,49720.00000000035,77.54605263157895,rr_matrix_out/M1_ASIA_ORB60_INCLUDE_NEWS_RR3
M1_ASIA_ORB60_INCLUDE_NEWS_RR3p5,M1,ASIA,60,INCLUDE_NEWS,3.5,19:00,20:00,03:00,456,148,308,32.45614035087719,107279.00000000035,1.3846159361835644,235.2609649122819,25366.000000000146,13.79426607500224,5,25,0.17861146401463576,81.4468275906739,4.229243869746894,37781.00000000027,69498.00000000026,83.92543859649123,rr_matrix_out/M1_ASIA_ORB60_INCLUDE_NEWS_RR3p5
M1_ASIA_ORB60_INCLUDE_NEWS_RR4,M1,ASIA,60,INCLUDE_NEWS,4.0,19:00,20:00,03:00,453,141,312,31.125827814569533,118065.00000000029,1.4193766095373441,260.62913907284894,35339.99999999962,19.33736423080062,5,25,0.18852263109939899,85.40075188802774,3.3408319185059865,42355.00000000015,75710.00000000041,89.96247240618102,rr_matrix_out/M1_ASIA_ORB60_INCLUDE_NEWS_RR4
M1_ASIA_ORB60_INCLUDE_NEWS_RR4p5,M1,ASIA,60,INCLUDE_NEWS,4.5,19:00,20:00,03:00,450,137,313,30.444444444444446,124098.0000000002,1.4405324813631544,275.7733333333342,38879.99999999959,20.80613053064176,5,25,0.18226246664513462,82.01810999031058,3.1918209876543595,42314.000000000306,81784.00000000009,95.31333333333333,rr_matrix_out/M1_ASIA_ORB60_INCLUDE_NEWS_RR4p5
M1_ASIA_ORB60_INCLUDE_NEWS_RR5,M1,ASIA,60,INCLUDE_NEWS,5.0,19:00,20:00,03:00,447,134,313,29.977628635346754,114359.99999999997,1.4060646948123432,255.83892617449675,38879.99999999956,22.346111845508158,5,27,0.18965131892308174,84.77413955861753,2.9413580246913904,42889.99999999996,71470.00000000006,99.04697986577182,rr_matrix_out/M1_ASIA_ORB60_INCLUDE_NEWS_RR5
M1_LONDON_ORB15_INCLUDE_NEWS_RR1,M1,LONDON,15,INCLUDE_NEWS,1.0,03:00,03:15,09:30,894,437,457,48.88143176733781,-29660.00000000061,0.9034127914549932,-33.17673378076138,40745.000000001004,39.53330422548979,9,10,-0.021399001438863176,-19.13070728634368,-0.7279420787826698,-17250.000000001048,-12409.999999999627,16.162192393736017,rr_matrix_out/M1_LONDON_ORB15_INCLUDE_NEWS_RR1
M1_LONDON_ORB15_INCLUDE_NEWS_RR1p5,M1,LONDON,15,INCLUDE_NEWS,1.5,03:00,03:15,09:30,833,331,502,39.73589435774309,-19942.99999999949,0.9401093125919715,-23.941176470587564,36296.00000000003,34.33187351614157,6,10,-0.013852076176614526,-11.5387794551199,-0.549454485342723,-16376.000000000568,-3566.9999999988704,22.349339735894358,rr_matrix_out/M1_LONDON_ORB15_INCLUDE_NEWS_RR1p5
M1_LONDON_ORB15_INCLUDE_NEWS_RR2,M1,LONDON,15,INCLUDE_NEWS,2.0,03:00,03:15,09:30,796,264,532,33.165829145728644,-27694.999999999403,0.9205183027450548,-34.792713567838426,45085.00000000011,42.57318224740328,5,14,-0.03077361745889986,-24.49579949728429,-0.6142841299766959,-27875.000000000455,180.0000000010641,28.17462311557789,rr_matrix_out/M1_LONDON_ORB15_INCLUDE_NEWS_RR2
M1_LONDON_ORB15_INCLUDE_NEWS_RR2p5,M1,LONDON,15,INCLUDE_NEWS,2.5,03:00,03:15,09:30,771,217,554,28.14526588845655,-36279.999999999796,0.898742656191128,-47.05577172503215,54014.00000000035,51.15543432965899,4,14,-0.05717042390410933,-44.07839683006829,-0.6716777131854623,-33551.00000000079,-2728.999999998996,33.99610894941634,rr_matrix_out/M1_LONDON_ORB15_INCLUDE_NEWS_RR2p5
M1_LONDON_ORB15_INCLUDE_NEWS_RR3,M1,LONDON,15,INCLUDE_NEWS,3.0,03:00,03:15,09:30,754,188,566,24.93368700265252,-39854.99999999997,0.890517265060572,-52.858090185676296,63345.00000000057,58.81342556055939,3,14,-0.0674330886484694,-50.84454884094593,-0.6291735732891248,-25760.000000000855,-14094.999999999072,38.322281167108756,rr_matrix_out/M1_LONDON_ORB15_INCLUDE_NEWS_RR3
M1_LONDON_ORB15_INCLUDE_NEWS_RR3p5,M1,LONDON,15,INCLUDE_NEWS,3.5,03:00,03:15,09:30,741,169,572,22.807017543859647,-35712.99999999997,0.9027158812312724,-48.195681511470816,70209.00000000032,60.07032974554695,3,15,-0.06866638015817642,-50.88178769720872,-0.5086669800168042,-18148.000000001004,-17564.999999998872,42.449392712550605,rr_matrix_out/M1_LONDON_ORB15_INCLUDE_NEWS_RR3p5
M1_LONDON_ORB15_INCLUDE_NEWS_RR4,M1,LONDON,15,INCLUDE_NEWS,4.0,03:00,03:15,09:30,735,154,581,20.952380952380953,-34059.9999999993,0.9084556254367593,-46.34013605442089,71375.00000000026,58.02609650014238,3,23,-0.08342963069825905,-61.32077856322041,-0.47719789842380633,-21790.000000000648,-12269.999999998709,45.36190476190476,rr_matrix_out/M1_LONDON_ORB15_INCLUDE_NEWS_RR4
M1_LONDON_ORB15_INCLUDE_NEWS_RR4p5,M1,LONDON,15,INCLUDE_NEWS,4.5,03:00,03:15,09:30,732,147,585,20.081967213114755,-22103.999999999447,0.9407859840874404,-30.196721311474477,75173.00000000041,55.33040879716208,3,23,-0.07440823686627177,-54.46682938611093,-0.2940417437111639,-16937.000000000397,-5166.999999998916,48.20765027322405,rr_matrix_out/M1_LONDON_ORB15_INCLUDE_NEWS_RR4p5
M1_LONDON_ORB15_INCLUDE_NEWS_RR5,M1,LONDON,15,INCLUDE_NEWS,5.0,03:00,03:15,09:30,728,138,590,18.956043956043956,-22664.999999999913,0.9396244006393191,-31.13324175824127,71875.0000000003,54.5561501385254,3,23,-0.09195970452172063,-66.94666489181262,-0.31533913043478007,-11755.000000000564,-10909.999999999081,51.21978021978022,rr_matrix_out/M1_LONDON_ORB15_INCLUDE_NEWS_RR5
M1_LONDON_ORB30_INCLUDE_NEWS_RR1,M1,LONDON,30,INCLUDE_NEWS,1.0,03:00,03:30,09:30,708,338,370,47.740112994350284,-25020.000000000917,0.9165499299579715,-35.338983050848846,39650.00000000099,37.69369711949901,8,7,-0.041030496133814036,-29.049591262740336,-0.631021437578822,-23680.000000001746,-1339.999999999236,22.336158192090394,rr_matrix_out/M1_LONDON_ORB30_INCLUDE_NEWS_RR1
