base,risk_reward,trades,net_profit,profit_factor,win_rate,max_dd_pct,avg_r
M5_ASIA_ORB60_INCLUDE_NEWS,4.0,361,149780.0000000003,1.6289313457904695,35.18005540166205,18.270680891470604,0.2347826836587705
M5_ASIA_ORB30_INCLUDE_NEWS,4.5,461,144032.9999999998,1.5565739899916904,29.50108459869848,12.750789286078199,0.2380785551738959
M1_ASIA_ORB30_INCLUDE_NEWS,4.5,624,134511.99999999977,1.4433487145682253,25.48076923076923,12.389404953112411,0.16690096858073514
M1_ASIA_ORB60_INCLUDE_NEWS,4.5,450,124098.0000000002,1.4405324813631544,30.444444444444446,20.80613053064176,0.18226246664513462
M1_ASIA_ORB30_SKIP_NEWS,4.5,416,119716.99999999933,1.603610053697023,25.0,8.989563092209522,0.18258939166850008
M15_ASIA_ORB30_INCLUDE_NEWS,4.5,340,115396.9999999993,1.498733684847434,34.11764705882353,15.514200245510004,0.24184497158249452
M5_ASIA_ORB60_SKIP_NEWS,4.0,238,108680.00000000055,1.6584272385799128,34.87394957983193,13.766311684415719,0.29757487536920235
M1_ASIA_ORB60_SKIP_NEWS,4.5,294,102318.00000000017,1.5348003345180872,29.931972789115648,16.29587681687013,0.17376800219319663
M5_ASIA_ORB30_SKIP_NEWS,5.0,319,100644.99999999962,1.5545942967350834,27.89968652037618,9.745212134907655,0.25158895658917646
M15_ASIA_ORB60_INCLUDE_NEWS,4.5,285,98805.99999999985,1.4501207234294549,39.29824561403509,22.915846285701303,0.2284081230584716
M15_ASIA_ORB15_INCLUDE_NEWS,4.5,366,94809.99999999991,1.4167289349918666,33.060109289617486,14.372814489375058,0.29394637484293723
M1_ASIA_ORB15_INCLUDE_NEWS,5.0,787,92619.99999999788,1.2705655526992228,21.855146124523507,16.082903954148396,0.0975434555260185
M15_ASIA_ORB30_SKIP_NEWS,5.0,238,84699.9999999995,1.5150971508498765,33.193277310924366,13.014959040721873,0.2828266096450934
M1_ASIA_ORB15_SKIP_NEWS,5.0,536,79394.9999999989,1.338297328390638,21.26865671641791,12.976245122790978,0.1058504167704204
M15_ASIA_ORB15_SKIP_NEWS,5.0,253,71239.99999999994,1.440555332240809,31.225296442687743,10.103996011111912,0.2995840123818649
M5_ASIA_ORB15_INCLUDE_NEWS,4.5,545,67341.99999999991,1.2254163249594134,25.871559633027523,21.046848749920297,0.15608069240631428
M15_ASIA_ORB60_SKIP_NEWS,5.0,192,64040.000000000204,1.412456123401927,39.0625,18.907392363931994,0.2794847964381248
M15_NEW_YORK_ORB15_INCLUDE_NEWS,4.5,278,61459.00000000035,1.2606348465893433,37.76978417266187,18.886521891195876,0.05322761491450177
M15_NEW_YORK_ORB30_INCLUDE_NEWS,2.0,244,61020.00000000029,1.2820429859024747,40.57377049180328,16.653396214858805,0.011322968025682244
M5_NEW_YORK_ORB30_INCLUDE_NEWS,5.0,286,60370.00000000058,1.224090571640685,37.41258741258741,26.4636868311107,0.066193222532515
M1_NEW_YORK_ORB15_INCLUDE_NEWS,4.5,416,52734.00000000035,1.1624934520691468,31.73076923076923,31.016808672877538,0.15235957295913385
M5_ASIA_ORB15_SKIP_NEWS,5.0,384,52180.00000000003,1.2436041083099905,24.21875,14.653248228061416,0.17312706136676334
M5_NEW_YORK_ORB15_INCLUDE_NEWS,4.5,347,51575.999999998865,1.1867139702421854,34.5821325648415,25.11548983620195,0.05855107393808646
M5_NEW_YORK_ORB60_INCLUDE_NEWS,3.5,187,40695.00000000026,1.231847315197266,43.85026737967914,17.73882230928786,0.1024949268182262
M15_NEW_YORK_ORB30_SKIP_NEWS,2.0,161,37635.00000000035,1.2632278370344494,40.993788819875775,17.737978410206168,-0.005113032500540494
M15_NEW_YORK_ORB60_INCLUDE_NEWS,3.5,161,36803.0,1.2539013452914802,44.72049689440994,19.490690572357273,0.11515538309411269
M1_NEW_YORK_ORB30_INCLUDE_NEWS,5.0,332,33035.00000000061,1.1008286660460598,34.63855421686747,39.93507497294783,0.1040742665810727
M5_NEW_YORK_ORB30_SKIP_NEWS,5.0,187,31320.00000000035,1.185199420512671,37.967914438502675,24.81312292358803,0.026316718799757777
M1_NEW_YORK_ORB15_SKIP_NEWS,5.0,266,28585.000000000466,1.1354931980850376,31.203007518796994,32.394868139700755,0.12955493441851368
M15_NEW_YORK_ORB15_SKIP_NEWS,2.5,184,21882.000000000146,1.1365448815949581,39.67391304347826,20.643497482500376,0.05688138569782433
M1_NEW_YORK_ORB60_INCLUDE_NEWS,3.5,215,20384.999999999913,1.0932461176040067,40.93023255813954,31.810676940011074,0.054483796903553525
M5_NEW_YORK_ORB15_SKIP_NEWS,5.0,228,20209.99999999936,1.111034804823775,34.64912280701755,24.681082437575842,0.036462443744960306
M1_NEW_YORK_ORB30_SKIP_NEWS,5.0,217,7655.000000000713,1.0356826551065155,35.483870967741936,37.38406568344216,0.09790272181215999
M15_LONDON_ORB30_INCLUDE_NEWS,1.0,340,3300.000000000553,1.0175354694723453,47.647058823529406,28.333634067123644,-0.03735696208362013
M15_LONDON_ORB60_INCLUDE_NEWS,1.0,294,1905.0000000002765,1.0096173263327965,46.25850340136054,27.121500172831038,-0.0678049672895575
M15_NEW_YORK_ORB60_SKIP_NEWS,3.5,106,855.0000000002765,1.0085534213685499,43.39622641509434,19.05337658507809,0.06846644114965389
M5_NEW_YORK_ORB60_SKIP_NEWS,5.0,125,845.000000000291,1.0069921390153107,43.2,21.533592989289485,0.0720151874834963
M15_LONDON_ORB60_SKIP_NEWS,4.5,187,-705.9999999998108,0.9954146911736071,28.87700534759358,29.79,-0.11657999500254568
M5_LONDON_ORB30_INCLUDE_NEWS,1.0,508,-13074.999999999593,0.9490104319001678,46.8503937007874,34.02407912992898,-0.048036144814241594
M5_LONDON_ORB60_INCLUDE_NEWS,1.0,383,-17594.99999999952,0.9275329489291612,44.64751958224543,37.9291327726454,-0.08460717978842049
M15_LONDON_ORB30_SKIP_NEWS,1.0,241,-19599.999999999418,0.8622192541562732,44.81327800829876,39.27974845239231,-0.096797713508434
M1_LONDON_ORB15_INCLUDE_NEWS,1.5,833,-19942.99999999949,0.9401093125919715,39.73589435774309,34.33187351614157,-0.013852076176614526
M5_LONDON_ORB15_INCLUDE_NEWS,1.0,617,-21134.999999998603,0.9188161407417424,46.83954619124797,34.64551697456233,-0.05460938549647075
M5_LONDON_ORB60_SKIP_NEWS,5.0,234,-21594.99999999914,0.8855044801442169,26.06837606837607,42.13499999999991,-0.19561979107879973
M1_LONDON_ORB15_SKIP_NEWS,1.0,627,-21935.000000000713,0.897843703427717,49.760765550239235,31.402187120291348,-0.005537317302344151
M1_NEW_YORK_ORB60_SKIP_NEWS,5.0,146,-24519.99999999936,0.8487633380620518,39.04109589041096,39.73021495463143,0.009926000025858164
M1_LONDON_ORB60_SKIP_NEWS,5.0,278,-24629.99999999949,0.8833503042932607,26.258992805755394,48.17500000000028,-0.09939348265658794
M1_LONDON_ORB30_INCLUDE_NEWS,1.0,708,-25020.000000000917,0.9165499299579715,47.740112994350284,37.69369711949901,-0.041030496133814036
M5_LONDON_ORB30_SKIP_NEWS,1.0,360,-30254.999999999403,0.8416217348060543,45.83333333333333,44.02833026098759,-0.07411744427823337
M1_LONDON_ORB60_INCLUDE_NEWS,1.0,494,-32955.00000000013,0.881441908153903,46.963562753036435,50.80242950965389,-0.05814791444863024
M15_LONDON_ORB15_INCLUDE_NEWS,1.0,400,-33694.999999998574,0.8381837391346164,42.75,43.83885090265,-0.13908461476703649
M1_LONDON_ORB30_SKIP_NEWS,1.0,500,-35700.00000000074,0.8378525684698162,46.800000000000004,44.1330235259954,-0.06082899174636961
M5_LONDON_ORB15_SKIP_NEWS,1.0,436,-38224.9999999991,0.8037529520484691,45.87155963302752,45.823829167677054,-0.07617546749300284
M15_LONDON_ORB15_SKIP_NEWS,1.0,282,-42964.999999999025,0.725278941142624,39.71631205673759,50.201062403811825,-0.19796667661795364
