timeframe,risk_reward,configs,trades,net_profit,avg_net_per_config,median_profit_factor,avg_win_rate,worst_dd_pct,configs_profitable
M1,5.0,18,7560,486725.00000000093,27040.27777777783,1.091479613365963,27.4888924248064,68.49999999999979,11
M5,5.0,18,5961,478825.0000000034,26601.388888889076,1.1854618781225605,30.1586958760089,83.18265820887984,12
M15,5.0,18,4474,472795.00000000367,26266.388888889094,1.0665901278960073,33.262741520989806,72.0999999999989,10
M15,4.5,18,4476,458138.00000000454,25452.111111111364,1.127425078491627,33.42581731317291,78.09299999999897,10
M1,4.5,18,7593,458001.00000000256,25444.500000000142,1.0620873792333216,28.09409777871277,70.27199999999968,11
M5,4.5,18,5969,436396.0000000035,24244.222222222415,1.1553214555738023,30.491430643241106,84.34698024712684,11
M5,4.0,18,5978,392375.00000000437,21798.611111111353,1.1374476340243804,30.896558753408954,83.04267342166722,11
M1,4.0,18,7636,363265.000000002,20181.388888889,1.054319506364192,28.732333973774328,75.01999999999991,11
M15,4.0,18,4476,352655.0000000036,19591.944444444645,1.1095079468955058,33.51784135241752,84.17530117495295,10
M5,3.5,18,5988,260535.0000000022,14474.16666666679,1.084917062415068,31.392309628621017,86.28939613405883,11
M5,1.5,18,6317,252013.00000000128,14000.722222222294,1.0698595626936591,41.962877497181346,64.51818199620087,10
M5,1.0,18,6617,223929.99999999886,12440.555555555493,1.0479635564435918,50.297978899291905,45.823829167677054,10
M15,3.5,18,4479,221957.00000000204,12330.944444444558,1.081922570795102,33.81783649152172,82.89643066120463,11
M1,3.5,18,7676,217243.00000000093,12069.055555555607,0.9964706398536441,29.65608244488557,73.71599999999987,9
M5,3.0,18,6032,213165.00000000317,11842.500000000176,1.0482443992685613,32.625828254991426,80.7951650766685,11
M15,1.0,18,4717,208540.00000000163,11585.555555555646,1.0630563370881858,49.02488604421459,50.201062403811825,13
M15,2.5,18,4512,182520.00000000422,10140.000000000235,1.1161983026937472,35.56212346979703,71.934999999999,11
M1,2.0,18,8154,177149.99999999884,9841.666666666602,0.9520826767481876,36.60679131672063,78.07206036679818,7
M15,3.0,18,4500,161355.00000000445,8964.166666666913,1.059585859291992,34.60939122799422,65.7649999999989,10
M1,1.5,18,8582,157801.99999999843,8766.77777777769,0.9598936034921706,42.367055624396826,81.55614465458582,8
M1,3.0,18,7756,128919.99999999926,7162.222222222181,0.9743606173891871,31.160626280058878,74.43616253907183,8
M15,2.0,18,4534,126885.00000000553,7049.1666666669735,1.083461203752853,37.33340552608797,80.11499999999894,11
M5,2.5,18,6074,116030.00000000445,6446.111111111359,1.0467551432306479,33.92643554847216,71.65399999999921,10
M5,2.0,18,6157,95150.00000000477,5286.111111111376,1.038069604640511,36.89273293333702,78.52926709296541,11
M1,1.0,18,9323,72039.99999999272,4002.222222221818,0.9664756712199893,51.149227358548835,50.80242950965389,8
M15,1.5,18,4574,36336.00000000356,2018.6666666668643,1.0598307911442557,40.88952266528167,74.71802279562992,11
M1,2.5,18,7890,-10514.000000002576,-584.1111111112542,0.9187760093993667,33.018650814730115,67.85593294164319,7
